ID1,ID2,Name,CPType,X,Y,NOTE
13265,23590,N332,E,285620,2774919,1
13266,23591,N340,E,291738,2774707,1
13269,23592,N813,E,288901,2778555,1
13270,23594,N958,E,282877,2776007,1
13271,23722,N982,E,296130,2778420,1
13277,24201,N337,E,307165,2759020,1
13279,24203,N951,E,301706,2759133,1
13280,24555,N307,E,319824,2764100,1
13282,24556,N392,E,315468,2759562,1
13286,24557,N683,E,314565,2765377,1
13287,24647,N741,E,310627,2765749,1
13288,24644,N003,D,314138,2768490,1
13289,24685,N309,E,324655,2761432,1
13291,24703,3091,F,326844,2753418,1
13292,24686,N328,E,319871,2756039,1
13294,24704,3165,F,323739,2750381,1
13296,24706,3675,F,322508,2763174,1
13297,24687,N816,E,324091,2756832,1
13298,24705,3998,F,327622,2758403,1
13299,24806,2025,F,305254,2733537,1
13300,24807,2026,F,310950,2742590,1
13303,24823,4137,G,306883,2752184,1
13304,24808,3151,F,310476,2747457,1
13305,24809,3160,F,315436,2745351,1
13306,24810,3167,F,310105,2736614,1
13307,24811,3272,F,307462,2738788,1
13310,24812,3252,F,298906,2745686,1
13312,24798,N054,D,299785,2741631,1
13314,24813,3263,F,295584,2733293,1
13315,25033,N424,E,290133,2757486,6
13316,30186,N503,G,284857,2757695,1
13318,25034,N533,E,295766,2742816,1
13320,25032,N377,E,291485,2753454,1
13326,25502,F3178,G,292533,2763125,1
13327,25558,F765,G,290419,2766445,1
13328,25625,N372,E,302841,2764537,1
13329,25626,N654,E,300053,2762466,1
13331,25624,N301,E,298332,2765496,1
13332,25857,1081,G,292800,2759938,1
13333,25961,N399,G,296057,2759906,1
13337,26129,N524,E,331225,2780458,1
13342,26237,N365,E,328755,2773863,1
13348,26302,3946,F,332177,2760258,1
13351,26284,N988,E,335709,2771059,1
13352,26282,N004,D,337310,2776358,1
13353,26380,N339,E,342707,2766161,1
13355,26381,N485,E,342958,2773284,1
13356,26399,2977,F,348419,2766295,1
13362,26660,N363,E,317523,2785595,1
13368,26753,N346,E,295708,2788625,1
13369,26754,N367,E,298011,2785146,1
13370,26755,N383,E,293435,2785789,7
13371,26775,3100,F,300884,2785159,1
13373,26937,N828,E,312917,2771816,1
13374,26938,N832,E,314142,2777506,1
13376,26939,N989,E,318493,2774780,1
13379,27187,N405,E,304128,2795218,5
13381,27188,N727,E,298681,2794314,1
13382,27186,N401,E,299725,2789380,4
13384,27189,N945,E,300528,2792547,6
13391,27387,1114,G,287656,2780076,1
13429,25475,N409,E,288475,2760298,5
13436,26752,N306,E,302611,2785448,1
13460,24973,A12,G,296358,2770614,1
13507,253877,GD52,G,343947,2770133,1
13646,30778,A14,G,303915,2763456,1
13648,30779,A20,G,303551,2762964,1
13649,24207,F237,F,302882,2763841,1
13650,30780,A22,G,303392,2763747,1
13654,30777,A4,G,303998,2762850,1
13750,22703,A44,G,295636,2773521,1
13757,22933,A70,G,296704,2776940,1
13763,22704,A76,G,297092,2774468,1
13769,23973,A49,G,297968,2773339,1
13770,23974,A50,G,297259,2772040,1
13771,23975,A57,G,297416,2771918,1
13776,24211,F260,F,304445,2761777,1
13792,23512,N803,E,295562,2769922,1
13793,23612,H004,F,278545,2778029,1
13794,23593,N903,E,282939,2778610,1
13795,22705,A77,G,297721,2774797,1
13810,24202,N808,E,304744,2762213,5
13811,24971,GA01,G,296790,2766828,1
13812,24917,F193,F,297143,2768153,1
13813,25057,H216,F,284715,2748721,1
13814,25315,H139,F,283286,2759604,5
13815,25316,H171,F,283589,2758497,5
13816,26128,N904,E,342686,2779469,1
13817,26378,N035,D,350869,2766773,1
13818,26661,N901,E,320003,2789239,1
13819,27270,N020,D,301593,2797467,1
13896,24275,A65,G,305241,2760969,1
13916,23029,A87,G,314870,2791348,1
13981,25478,F231,F,291115,2763715,1
14108,23513,F008,F,294965,2769967,1
14109,23514,F025,F,293110,2767784,1
14110,23515,F156,F,294892,2771604,1
14111,23516,F157,F,297037,2771304,1
14112,23517,F170,F,290658,2769522,1
14113,23521,F172,F,294588,2769639,1
14114,23519,F191,F,293279,2767816,1
14115,23597,F080,F,284366,2779739,1
14116,23598,F081,F,286300,2779815,1
14117,23599,F098,F,283439,2779366,1
14118,23600,F099,F,280599,2779162,1
14119,23601,F100,F,280742,2778201,1
14120,23602,F101,F,282540,2777567,1
14121,23603,F102,F,284211,2778243,52
14122,23604,F103,F,288893,2777860,1
14123,23605,F120,F,287049,2777211,1
14124,23606,F121,F,285504,2775332,1
14125,23616,F122,F,287480,2776048,1
14126,23608,F123,F,289032,2776488,5
14127,23609,F124,F,290608,2775354,4
14128,23610,F135,F,287091,2773642,1
14129,23611,F136,F,288976,2774655,1
14130,23723,F084,F,292692,2779741,1
14131,23724,F097,F,294603,2778516,1
14132,23725,F104,F,290713,2777559,5
14133,23726,F105,F,292663,2777757,1
14134,23727,F125,F,293614,2775208,1
14135,23728,F126,F,294763,2776145,1
14136,23729,F138,F,293117,2773629,1
14137,23730,F139,F,294835,2773540,5
14138,23731,F140,F,296709,2773821,5
14139,23857,F014,F,296350,2776325,1
14140,23858,F128,F,297006,2775679,1
14141,23859,F129,F,298598,2775596,1
14142,23936,F011,F,299286,2772564,1
14143,23937,F141,F,298882,2773732,1
14144,24003,GC31,G,299114,2771579,1
14145,23940,F159,F,300216,2772084,1
14146,23938,F142,F,300929,2773364,1
14147,24062,F010,F,292578,2769670,1
14148,24063,F137,F,290989,2773549,1
14149,24064,F154,F,290119,2771543,5
14150,24065,F155,F,293157,2771805,1
14151,24066,F171,F,292528,2769507,1
14152,24206,F029,F,304725,2762350,1
14153,24208,F238,F,304828,2763469,1
14154,24209,F258,F,298132,2761517,51
14155,24210,F259,F,302711,2761833,1
14156,24212,F261,F,306535,2761627,1
14157,24213,F262,F,308847,2761788,1
14158,24214,F269,F,300911,2761145,1
14159,24215,F273,F,299029,2759921,1
14160,24216,F274,F,300869,2759665,1
14161,24217,F275,F,303140,2759501,1
14162,24218,F276,F,304602,2759804,1
14163,24231,F281,F,304620,2758697,1
14164,24220,F288,F,301906,2758609,1
14165,24221,F289,F,303763,2757781,1
14166,24232,F291,F,305057,2757304,1
14167,24233,F292,F,304021,2756255,1
14168,24224,F293,F,300751,2756604,1
14169,24225,F296,F,305196,2756046,1
14170,24226,F299,F,307150,2754940,1
14171,24227,F300,F,300241,2754681,1
14172,24228,F306,F,303912,2753977,1
14173,24229,F309,F,301534,2753008,1
14174,24230,F310,F,299825,2752665,52
14175,24559,F175,F,317300,2769491,5
14176,24560,F189,F,317785,2768684,1
14177,24561,F198,F,314902,2767416,1
14178,24562,F199,F,315998,2767649,1
14179,24563,F227,F,318267,2766541,1
14180,24574,F239,F,319416,2763739,1
14181,24565,F245,F,316062,2762971,1
14182,24566,F263,F,317213,2761805,1
14183,24567,F264,F,318969,2761279,1
14184,24568,F267,F,314221,2760631,1
14185,24569,F268,F,313060,2761084,1
14186,24570,F277,F,317254,2759630,1
14187,24649,F197,F,313287,2767754,1
14188,24650,F213,F,310439,2767086,1
14189,24651,F225,F,311142,2766099,1
14190,24652,F226,F,312385,2766028,1
14191,24691,F023,F,321955,2758724,1
14192,24692,F240,F,330017,2764051,1
14193,24693,F242,F,329465,2763536,1
14194,24694,F243,F,325005,2762401,1
14195,24695,F244,F,323437,2762374,1
14196,24696,F266,F,323850,2760309,1
14197,24697,F278,F,322847,2759938,51
14198,24698,F280,F,321266,2757528,1
14199,24709,F290,F,321451,2758283,51
14200,24700,F297,F,321177,2755694,1
14201,24701,F298,F,322674,2755670,1
14202,24801,F021,F,305698,2750962,5
14203,24802,F307,F,306244,2753128,52
14204,24803,F308,F,305160,2753044,1
14205,24804,F316,F,304729,2750178,1
14206,24912,F015,F,293034,2763576,1
14207,24913,F026,F,296744,2766864,1
14208,24914,F173,F,296726,2769619,1
14209,24915,F174,F,298589,2769809,5
14210,24916,F192,F,295031,2768040,5
14211,24918,F194,F,299111,2767951,1
14212,24919,F218,F,294539,2766221,6
14213,24920,F220,F,296781,2765722,1
14214,25036,F271,F,286983,2759729,1
14215,25061,F282,F,295018,2758392,51
14216,25038,F283,F,291221,2758382,1
14217,25039,F284,F,289669,2758432,1
14218,25040,F285,F,288285,2758081,1
14219,25041,F286,F,292769,2757314,1
14220,25042,F287,F,295032,2757831,51
14221,25043,F294,F,287143,2757603,1
14222,25044,F295,F,286762,2755463,1
14223,25045,F301,F,292287,2755041,1
14224,25046,F302,F,290956,2755308,1
14225,25047,F303,F,284914,2755026,5
14226,25048,F304,F,288087,2754159,1
14227,25049,F305,F,296245,2754492,1
14228,25050,F311,F,295232,2753016,1
