Zip5,City,Area,Road,Scope
30010,新竹市,東區,大學路,　1001號
30011,新竹市,東區,光復路二段,　 321號
30012,新竹市,香山區,五福路二段,　 707號
30013,新竹市,東區,光復路二段,　 101號
30014,新竹市,東區,南大路,　 521號
30015,新竹市,香山區,元培街,　 306號
30016,新竹市,東區,新安路,　   2號
30017,新竹市,東區,光復路二段,　 295號
30041,新竹市,東區,大成街,全
30041,新竹市,北區,中央路,單 111號以下
30041,新竹市,東區,中央路,單 123號以上
30041,新竹市,東區,中央路,雙全
30041,新竹市,東區,中南街,全
30041,新竹市,東區,文昌街,全
30041,新竹市,北區,平和街,單全
30041,新竹市,東區,平和街,雙  20號以下
30041,新竹市,北區,平和街,雙  22號以上
30041,新竹市,東區,自由路,全
30041,新竹市,東區,西大路,單 231號至 345號
30041,新竹市,東區,西大路,雙 270號至 388號
30041,新竹市,東區,東門街,單 167號以下
30041,新竹市,北區,東門街,單 169號以上
30041,新竹市,東區,東門街,雙 192號以下
30041,新竹市,北區,東門街,雙 194號以上
30041,新竹市,東區,東前街,全
30041,新竹市,東區,武昌街,全
30041,新竹市,東區,南門街,全
30041,新竹市,東區,復興路,全
30041,新竹市,東區,鐵道路一段,單全
30042,新竹市,東區,大同路,單  87號以下
30042,新竹市,北區,大同路,單  89號以上
30042,新竹市,東區,大同路,雙 108號以下
30042,新竹市,北區,大同路,雙 110號以上
30042,新竹市,東區,仁愛街,全
30042,新竹市,東區,仁義街,全
30042,新竹市,東區,文化街,全
30042,新竹市,東區,世界街,單 101號以下
30042,新竹市,北區,世界街,單 103號至 153號
30042,新竹市,北區,世界街,單 163號以上
30042,新竹市,東區,世界街,雙 110號以下
30042,新竹市,北區,世界街,雙 112巷至 170號
30042,新竹市,北區,世界街,雙 172號以上
30042,新竹市,東區,府後街,連  39號以下
30042,新竹市,北區,府後街,連  40號以上
30042,新竹市,東區,東大路一段,單  55號以上
30042,新竹市,東區,東大路一段,雙 118號以上
30042,新竹市,東區,東門市場,全
30042,新竹市,東區,林森路,單 253號以下
30042,新竹市,北區,林森路,單 259號以上
30042,新竹市,東區,林森路,雙 208號以下
30042,新竹市,東區,林森路,　 210巷單全
30042,新竹市,北區,林森路,　 210巷雙全
30042,新竹市,北區,林森路,雙 212號以上
30042,新竹市,東區,信義街,全
30042,新竹市,北區,建興街,全
30042,新竹市,北區,英明街,全
30043,新竹市,東區,三民路,全
30043,新竹市,東區,民生路,全
30043,新竹市,東區,民族路,全
30043,新竹市,東區,民權路,全
