編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
1,D01BA0002,臺南市東區竹篙厝段855-5地號,139000,82,長方形4.5:18.2,「住五」住宅區,60,210,臺南市東區崇學路273號,透天翰盈牙醫診所,4.54
2,D01BA0007,臺南市東區新東段467-1地號,59600,87,長方形4.5:19.3,「住五」住宅區,60,210,臺南市東區裕豐街202號,透天建發文具店,5.35
3,D01BA0008,臺南市東區裕東段655-4地號,71700,105.88,長方形5.0:21.2,「虎住三」住宅區,50,160,臺南市東區裕平路50號,透天住家用,3.49
4,D01BA0009,臺南市東區光明段934-20地號,113000,82,長方形4.2:19.5,「住五」住宅區,60,210,臺南市東區東安路83號,透天古丁原味品茶館,3.6
5,D01BA0012,臺南市東區竹篙厝段3932-4地號,100000,83,長方形4.2:19.8,「住五」住宅區,60,210,臺南市東區崇德路518號,透天黃修傑中醫診所,2.47
6,D01BA0013,臺南市東區竹篙厝段1578-1地號,116000,88,長方形4.3:20.4,「住五」住宅區,60,210,臺南市東區崇善路128號,透天李學院補習班,4.34
7,D01BA0014,臺南市東區裕東段135-28地號,90100,92.4,長方形4.2:22.0,「虎住二」住宅區,50,160,臺南市東區裕農路868之5號,透天宏昌旗魚?,2.41
8,D01BA0015,臺南市東區東光段364-3地號,104000,76,長方形4.2:18.0,「住五」住宅區,60,210,臺南市東區東光路二段19號,透天住家用,4.56
9,D01BA0016,臺南市東區竹篙厝段3120-10地號,112000,90,長方形4.3:21.0,「住五」住宅區,60,210,臺南市東區崇善路438號,透天陳勃旭耳鼻喉科,3.34
10,D01BA0017,臺南市東區裕東段381-7地號,72900,108,長方形4.5:24.0,「虎住二」住宅區,50,160,臺南市東區裕信路165號,透天斐?斯美?店,1.26
11,D01BA0018,臺南市東區仁和段381-15地號,78300,78,長方形4.0:19.5,「住五」住宅區,60,210,臺南市東區仁和路87之2號,透天吳家紅茶冰,2.37
12,D01BA0019,臺南市東區精忠段1038-2地號,194000,84,長方形4.4:19.1,「住五」住宅區,60,210,臺南市東區裕農路615號,透天阿吉鱔魚專家,3.73
13,D01BA0020,臺南市東區光明段597-90地號,181000,80,長方形4.5:17.8,「住五」住宅區,60,210,臺南市東區怡東路159號,透天百瀚外語補習班,4.54
14,D01BA0021,臺南市東區竹篙厝段1405地號,156000,147,長方形5.3:28.0,「住五」住宅區,60,210,臺南市東區中華東路三段92號,透天信義房屋,4.44
15,D01BA0022,臺南市東區育樂段98地號,205000,79,長方形5.0:15.8,「住五」住宅區,60,210,臺南市東區大學路西段25號,透天皇平麵店,2.73
16,D01BA0023,臺南市東區竹篙厝段1935-25地號,138000,93,長方形4.5:20.7,「住五」住宅區,60,210,臺南市東區崇明路259號,透天文雄眼鏡行,3.86
17,D01BA0024,臺南市東區新東段1088-30地號,183000,83,長方形4.0:20.6,「住五」住宅區,60,210,臺南市東區東寧路256號,透天得恩堂眼鏡行,4.84
18,D01BB0005,臺南市東區育樂段1583地號,234000,64,長方形4.5:14.2,「商四」商業區,80,320,臺南市東區北門路一段96號,透天電腦伊甸園,0.65
19,D01BB0011,臺南市東區東安段978-3地號,121000,129,長方形4.7:27.4,「商四」商業區,80,320,臺南市東區東門路二段33號,透天住商不動產,3.62
20,D01BB0012,臺南市東區東寧段602-5地號,195000,87,長方形4.9:18.3,商四(1)中心商業區,80,320,臺南市東區長榮路二段160號,透天長興牙醫,3.69
21,D02BA0001,臺南市南區鹽埕段2164-2地號,91400,112,長方形5.0:22.4,「住二」住宅區,60,150,臺南市南區夏林路76號,透天RECORDS路口牛肉麵店,3.78
22,D02BA0002,臺南市南區新興段209-35地號,114000,109,長方形4.8:22.9,「住五-1」住宅區,60,200,臺南市南區金華路二段205號,透天皇家御櫃,1.08
23,D02BA0003,臺南市南區公英段103地號,106000,88,長方形5.0:17.6,「住六」住宅區,60,220,臺南市南區大同路二段344號,透天巧味鹽酥雞大王,2.35
24,D02BA0006,臺南市南區中和段1410地號,40200,73,長方形4.9:14.9,「住三」住宅區,60,165,臺南市南區灣裡路346號,透天波波洗衣店,2.31
25,D02BA0008,臺南市南區鹽埕段93-112地號,116000,96,長方形5.0:19.2,「住六」住宅區,60,220,臺南市南區健康路二段49號,透天住家用,1.32
26,D02BA0009,臺南市南區大忠段387地號,52300,83.09,長方形4.3:19.3,「住四」住宅區,60,180,臺南市南區國民路132號,透天慶仁中醫診所,2.37
27,D02BA0010,臺南市南區桶盤淺段375-2地號,43000,84,長方形4.3:19.6,「住二」住宅區,60,150,臺南市南區永成路三段115號,透天住家用,2.16
28,D02BA0011,臺南市南區鹽埕段289-56地號,75000,100,長方形4.3:23.3,「住五-1」住宅區,60,200,臺南市南區新興路388號,透天夾寶夾物店,2.06
29,D02BA0012,臺南市南區鹽埕段230-339地號,68700,89,長方形4.2:21.2,「住四」住宅區,60,180,臺南市南區大成路二段68號,透天住家用,2.71
30,D02BA0013,臺南市南區新興段247-48地號,82600,84,長方形4.4:19.1,「住五-1」住宅區,60,200,臺南市南區建南路209號,透天正發汽車修配廠,2.63
31,D02BB0004,臺南市南區鹽埕段3-614地號,228000,75,長方形4.5:16.6,「商一」商業區,80,320,臺南市南區西門路一段695號,透天4.EVER髮廊,2.73
32,D02BB0005,臺南市南區鹽埕段3-346地號,164000,102,長方形4.5:22.7,「商一」商業區,80,320,臺南市南區西門路一段591號,透天大立眼鏡行,1.5
33,D02BD0007,臺南市南區鹽埕段3001地號,28900,5004,長方形50.0:100.0,乙種工業區,70,210,臺南市南區中華西路一段47號,透天通吉企業公司,2.79
34,D04BA0002,臺南市北區東豐段346-5地號,85600,97,長方形4.5:21.4,住七住宅區,60,270,臺南市北區勝利路266號,透天老友小吃店,3.28
35,D04BA0004,臺南市北區小北段407地號,101000,97.1,長方形4.5:21.7,住四,60,180,臺南市北區西門路四段27號,透天永昌香料行,3.08
36,D04BA0006,臺南市北區仁愛段42-150地號,101000,88,長方形4.3:20.5,住三住宅區,60,165,臺南市北區東豐路361號,透天住家用,0.91
37,D04BA0007,臺南市北區大興段235-1地號、大興段236-1地號,80800,73.19,長方形4.0:18.3,住四住宅區,60,180,臺南市北區文賢路875號,透天喬瓦尼服飾店,2.69
38,D04BA0010,臺南市北區光賢段534-3地號,61400,107.49,長方形4.3:24.9,住四住宅區,60,180,臺南市北區賢北街8號,透天住家用,2.53
39,D04BA0011,臺南市北區延平段1102-1地號,97700,91,長方形4.8:19.0,住四住宅區,60,180,臺南市北區公園路764號,透天住家用,1.89
40,D04BA0013,臺南市北區北元段159地號,124000,171.98,長方形5.8:29.7,住四住宅區,60,180,臺南市北區海安路三段933號,透天住家用,2.25
41,D04BA0014,臺南市北區北元段980-65地號,157000,91.29,長方形4.5:20.3,住四住宅區,60,180,臺南市北區和緯路二段492號,透天LG科昌電器,2.98
42,D04BB0003,臺南市北區自強段258地號,133000,89,長方形4.6:19.4,商四(1)商業區,80,320,臺南市北區成功路72、76號,透天心心藥局,3.29
43,D04BB0005,臺南市北區北安段563地號,78700,82.63,長方形4.6:18.0,商五(19),60,360,臺南市北區北安路一段97號,透天弘昌鈑金材料行,3.17
44,D04BB0008,臺南市北區開元段975地號,108000,136,長方形4.5:30.2,商四(1)商業區,80,320,臺南市北區開元路341號,透天佑昇照相館,2.3
45,D06BA0001,臺南市安南區新順段1000地號,48400,97.41,長方形4.4:22.1,「住六」住宅區,60,240,臺南市安南區安和路三段97號,透天?酥雞大王,2.56
46,D06BA0003,臺南市安南區新淵段438地號,49900,132.36,長方形5.1:25.95,「住六」住宅區,60,240,臺南市安南區安中路三段210號,透天住家用,2.48
47,D06BA0004,臺南市安南區安中段265地號,44500,91.39,長方形4.3:21.2,「住四-2」住宅區,60,200,臺南市安南區同安路141號,透天住家用,2.08
48,D06BA0005,臺南市安南區溪墘段974地號,88900,142.44,長方形4.9:29.1,「住一」住宅區,50,120,臺南市安南區海佃路一段196號,透天陳昱成耳鼻喉科診所,2.08
49,D06BA0007,臺南市安南區公塭段1-2地號,18900,169.88,長方形5.6:30.0,「住三」住宅區,60,165,臺南市安南區十二佃路85號,透天住家用,1.63
50,D06BA0008,臺南市安南區長安段61地號,27400,89.16,長方形4.3:20.7,「住四」住宅區,60,180,臺南市安南區長和路四段423號,透天住家用,1.91
51,D06BA0012,臺南市安南區頂安段150-5地號,43600,88.69,長方形4.2:21.1,「住四」住宅區,60,180,臺南市安南區安中路一段418號,透天住家用,2.13
52,D06BA0013,臺南市安南區天馬段27地號,47500,78.1,長方形5.0:15.6,「住三-1」住宅區,55,165,臺南市安南區安中路四段31號,透天住家用,1.95
53,D06BA0014,臺南市安南區淵東段833地號,33900,120.94,長方形4.5:26.8,「住三-1」住宅區,55,165,臺南市安南區本原街三段159號,透天捷誠電腦,1.82
54,D06BA0016,臺南市安南區海佃段1259地號,50800,96.95,長方形4.8:20.2,「住一」住宅區,50,120,臺南市安南區國安街60號,透天東方美早餐店,2.44
55,D06BA0018,臺南市安南區新淵段34-4地號,55700,86.13,長方形4.6:18.7,「住四」住宅區,60,180,臺南市安南區海佃路三段310號,透天住家用,1.66
56,D06BA0019,臺南市安南區溪東段102地號,46600,97.88,長方形4.7:21.0,「住一」住宅區,50,120,臺南市安南區北安路二段67號,透天住家用,2.67
57,D06BA0020,臺南市安南區外塭段877-34地號,49300,93,長方形4.2:22.1,「住三-1」住宅區,55,165,臺南市安南區安和路五段254號,透天鳳慈素食,2.52
58,D06BA0021,臺南市安南區州南段97地號,49300,89,長方形3.7:24.0,「住三-1」住宅區,55,165,臺南市安南區安和路四段592號,透天電腦彩券行,2.52
59,D06BA0022,臺南市安南區佃西段321地號,24900,111.63,長方形4.5:24.8,「住三」住宅區,60,165,臺南市安南區公學路四段336號,透天住家用,2.11
60,D06BA0023,臺南市安南區新順段1171-2地號,44200,113.99,長方形4.6:24.7,「住六」住宅區,60,240,臺南市安南區北安路三段426號,透天住家用,2.1
61,D06BA0024,臺南市安南區海東段1480地號,38700,94.6,長方形5.0:18.9,「住一」住宅區,50,120,臺南市安南區大安街32號,素地住家用,1.59
62,D06BA0025,臺南市安南區海北段848地號,47200,101.13,長方形4.9:20.7,「住五」住宅區,60,210,臺南市安南區海佃路二段776號,透天昱豐空調技術公司,2.63
63,D06BA0027,臺南市安南區城南段26地號,34500,101.42,長方形3.8:26.6,「住三-1」住宅區,55,165,臺南市安南區城西街一段23號,透天一吉餅店,0.88
64,D06BA0029,臺南市安南區安東段1197地號,54100,89.05,長方形4.2:21.0,「住一」住宅區,50,120,臺南市安南區安和路一段72號,透天住家用,1.7
65,D06BA0030,臺南市安南區安西段2102-3地號,54500,107.53,長方形4.8:22.3,「住四-1」住宅區,50,180,臺南市安南區北安路二段206號,透天住家用,1.69
66,D06BA0031,臺南市安南區和館段44-822地號,46600,122.48,長方形5.0:24.5,「住一-1」住宅區,50,135,臺南市安南區長和路一段358號,透天酷柏德式廚房,1.99
67,D06BA0032,臺南市安南區國安段1505-2地號,53500,132.59,長方形6.0:22.1,「住四-1」住宅區,50,180,臺南市安南區宜居路592號,透天住家用,4.12
68,D06BA0033,臺南市安南區安中段499-29地號,84100,102.23,長方形4.9:20.9,「住四-2」住宅區,60,200,臺南市安南區安中路一段801號,透天家味自助餐,1.46
69,D06BA0034,臺南市安南區城中段170地號,39600,118.08,長方形4.5:26.0,低密度住宅區,60,180,臺南市安南區安中路六段645號,透天泉聖便當,1.55
70,D06BB0009,臺南市安南區十字段849地號,51700,74.71,梯形4.4:16.9,「商10」商業區,80,300,臺南市安南區海佃路三段30號,透天住家用,2.4
71,D06BD0006,臺南市安南區科工段31地號、科工段32地號、科工段33地號,19300,42213.05,長方形173.3:244.9,「工15(科)」乙種工業區,60,240,臺南市安南區本田路二段500號,透天可成科技,2.73
72,D06BD0010,臺南市安南區和工段773地號,19000,361.32,長方形10.0:36.1,「工乙5」工業區,70,210,臺南市安南區開安三街22號,透天美成工藝社,2.45
73,D06BD0028,臺南市安南區布袋段1227地號,15800,871.33,長方形19.4:44.9,「工13」工業區,70,210,臺南市安南區工明二路51號,透天德源鑫機械,2.35
74,D06BF0001,臺南市安南區淵南段932地號,9400,1761.09,長方形34.2:89.4,農業區,0,0,,素地,1.63
75,D07BA0001,臺南市安平區新南段26-17地號,87700,132,長方形5.3:24.9,住五住宅區,60,210,台南市安平區府前路二段558號,透天禾春牙醫診所,2.84
76,D07BA0002,臺南市安平區新南段69-21地號,104000,116.38,長方形4.9:23.7,住五住宅區,60,210,臺南市安平區文平路372號,透天萬佳汽車美容,2.99
77,D07BA0004,臺南市安平區新南段127-47地號,114000,126,長方形4.5:28.0,住五住宅區,60,210,臺南市安平區中華西路二段75號,透天美心便當店,2.72
78,D07BA0005,臺南市安平區新南段120-23地號,62300,102,長方形5.0:20.4,住五住宅區,60,210,臺南市安平區永華二街25號,透天住家用,3
79,D07BA0006,臺南市安平區金華段42-47地號,61400,129,長方形5.6:23.1,住五住宅區,60,210,臺南市安平區建平八街372巷6號,透天住家用,3.57
80,D07BA0008,臺南市安平區金城段34-35地號,58100,110,長方形4.6:23.9,住四住宅區,60,180,臺南市安平區光州七街108號,透天住家用,3.23
81,D07BA0009,臺南市安平區金城段55地號,134000,4994,近似梯形62.6:79.8,住五住宅區,60,210,臺南市安平區永華路二段869號十三樓之3,透天皇鼎格里昂,2.07
82,D07BA0010,臺南市安平區金城段69-27地號,75300,71.1,長方形4.5:15.8,住四住宅區,60,180,臺南市安平區平豐路51號之1,透天住家用,2.89
83,D07BB0003,臺南市安平區新南段37-19地號,103000,100,長方形5.5:18.2, 住五住宅區,80,280,臺南市安平區慶平路186號,透天住家用,3.02
84,D07BB0007,臺南市安平區妙壽段938地號,72000,67.99,長方形4.0:17.0,特商三特定商業專用區,80,280,臺南市安平區延平街75號,透天鈺佳鐘錶行,2.59
85,D08BA0001,臺南市中西區保安段2002地號,132000,82,長方形4.6:17.9,住六住宅區,60,240,臺南市中西區金華路三段7號,透天悟饕便當店,2.59
86,D08BA0002,臺南市中西區郡王祠段1852地號,120000,88.85,長方形4.4:20.0,住四住宅區,60,180,臺南市中西區健康路一段204號,透天林媽媽租屋,2.32
87,D08BA0003,臺南市中西區成光段1010地號,91100,85,長方形4.3:19.8,住四住宅區,60,180,臺南市中西區民權路四段206號,透天住家用,2.38
88,D08BA0006,臺南市中西區新臨安段934地號,49300,91,長方形4.8:18.8,住五住宅區,60,210,臺南市中西區大新街55號,透天住家用,2.52
89,D08BA0011,臺南市中西區南門段1264地號,105000,99.04,長方形5.7:17.3,「住五」住宅區,60,210,臺南市中西區忠義路一段47號,透天住家用,2.66
90,D08BA0012,臺南市中西區武聖段1367地號,59900,88.85,長方形4.6:19.3,「住四」住宅區,60,180,臺南市中西區武聖路69巷45號,透天夾物店鋪,2.59
91,D08BA0013,臺南市中西區頂美段1512-42地號,163000,116.02,長方形4.5:25.7,「住四」住宅區,60,180,臺南市中西區中華西路二段777號,透天住家用,2.86
92,D08BA0015,臺南市中西區頂美段984-9地號,142000,122.62,長方形5.1:24.0,「住四」住宅區,60,180,臺南市中西區和緯路五段217號,透天住家用,2.41
93,D08BB0004,臺南市中西區中正段500地號、中正段501地號,308000,104.76,長方形4.8:21.3,商四(1)商業區,80,320,臺南市中西區中正路224號,透天ETUDE HOUSE,0.99
94,D08BB0007,臺南市中西區中山段401地號,126000,74.36,長方形4.3:17.4,商四(1)商業區,80,320,臺南市中西區民權路一段252號,透天雅維麗飾品店,3.21
95,D08BB0008,臺南市中西區中正段194地號,130000,104.83,長方形4.5:23.1,商四(1)商業區,80,320,臺南市中西區民生路二段79號,透天吾皇萬歲工夫手作麵,2.62
96,D08BB0009,臺南市中西區永福段645地號,125000,77.4,長方形4.2:18.4,商四(1)商業區,80,320,臺南市中西區永福路二段142-1號,透天My賣飲料,2.48
97,D08BB0010,臺南市中西區星鑽段1923地號,125000,85.5,長方形4.7:18.3,「商四(1)」商業區,80,320,臺南市中西區康樂街191號,透天住家用,2.48
98,D08BB0014,臺南市中西區廣慈段65地號,325000,96.36,長方形4.8:20.1,「商四(1)」商業區,80,320,臺南市中西區北門路一段145號,透天深白服飾店,2.19
99,D08BB0016,臺南市中西區新美段95地號、新美段96地號、新美段97地號、新美段98地號,240000,99.4,長方形6.9:14.5,「商四(1)」商業區,80,320,臺南市中西區民族路二段373號,透天道 足底養生館,2.32
101,D09BA0002,臺南市新營區民治段538地號,82900,117.12,長方形4.9:23.9,住宅區,60,200,臺南市新營區三民路106之12號,透天樂恩聯合診所,1.48
