狀態	通報日期	裁處日期	編號	KML檔編號	縣市	行政區	地段地號	追蹤日期
已裁罰追蹤中	110/11/02	111/01/04	1	1	臺中市	大安區	安農段867地號	111/06/30
已裁罰追蹤中	111/01/11	111/01/05	2	1	臺中市	后里區	七塊厝段275地號	111/07/05
已裁罰追蹤中	110/12/20	111/01/05	3	1	臺中市	神岡區	福庄段499地號	111/07/03
已裁罰追蹤中	110/11/12	111/01/05	4	1	臺中市	東勢區	"石圍墻段埤頭山小段52,230地號等2筆地號"	
已裁罰追蹤中	110/11/17	111/01/06	5	1	臺中市	龍井區	新東段1122地號	
已裁罰追蹤中	110/12/07	111/01/10	6	1	臺中市	清水區	東山段911、912地號	111/06/20
已裁罰追蹤中	110/11/08	111/01/10	7	1	臺中市	新社區	大南段大南小段693地號等11筆地號	111/04/13
已裁罰追蹤中	110/10/28	111/01/10	8	1	臺中市	后里區	十三張段831地號	111/07/05
已裁罰追蹤中	110/10/22	111/01/10	9	1	臺中市	烏日區	溪南西段1733地號等3筆地號	111/04/15
已裁罰追蹤中	110/11/30	111/01/12	10	1	臺中市	外埔區	水美東段639地號	111/07/15
已裁罰追蹤中	110/11/24	111/01/17	11	1	臺中市	大里區	西湖南段290地號	111/07/20
已裁罰追蹤中	110/11/19	111/01/17	12	1	臺中市	清水區	東山段961地號	111/04/20
已裁罰追蹤中	110/11/29	111/01/18	13	1	臺中市	烏日區	溪南西段2760地號	111/07/20
已裁罰追蹤中	110/10/20	111/01/18	14	1	臺中市	烏日區	溪南東段1775、1776地號	111/04/30
已裁罰追蹤中	110/11/23	111/01/19	15	1	臺中市	后里區	七塊厝段402、402-3、403地號土地	111/07/19
已裁罰追蹤中	110/11/15	111/01/19	16	1	臺中市	大甲區	雙寮段727地號	111/07/31
已裁罰追蹤中	110/11/15	111/01/19	17	1	臺中市	大甲區	雙寮段219地號	111/07/31
已裁罰追蹤中	110/10/20	111/01/19	18	1	臺中市	烏日區	溪南東段1626地號	111/04/30
已裁罰追蹤中	110/12/27	111/01/20	19	1	臺中市	大雅區	自強段1741地號	
已裁罰追蹤中	110/11/11	111/01/20	20	1	臺中市	霧峰區	農試所段749地號	111/07/20
已裁罰追蹤中	110/11/11	111/01/20	21	1	臺中市	霧峰區	五福段172地號	111/07/19
已裁罰追蹤中	110/05/27	111/01/21	22	1	臺中市	后里區	新店段428-3地號	110/10/01
已裁罰追蹤中	110/12/03	111/01/22	23	1	臺中市	石岡區	新國校段243地號	111/07/21
已裁罰追蹤中	110/12/20	111/01/25	24	1	臺中市	烏日區	新喀哩段1321地號	
已裁罰追蹤中	111/01/22	111/02/07	25	1	臺中市	霧峰區	四德段134地號	111/08/07
已裁罰追蹤中	111/01/20	111/02/08	26	1	臺中市	太平區	頭汴坑段3601地號	111/05/23
已裁罰追蹤中	111/01/20	111/02/08	27	1	臺中市	太平區	光興段54地號	111/05/23
已裁罰追蹤中	111/01/05	111/02/09	28	1	臺中市	大肚區	"慶順段115,116地號等2筆地號"	111/08/20
已裁罰追蹤中	111/01/04	111/02/10	29	1	臺中市	清水區	東山段246-2地號	111/05/20
已裁罰追蹤中	110/12/30	111/02/10	30	1	臺中市	和平區	"博愛段283,287地號等2筆地號"	
已裁罰追蹤中	111/01/18	111/02/11	31	1	臺中市	霧峰區	復興段827地號	
已裁罰追蹤中	111/01/07	111/02/11	32	1	臺中市	大肚區	瑞井段778-1地號	111/05/20
已裁罰追蹤中	111/01/03	111/02/11	33	1	臺中市	太平區	光華段91地號	111/05/30
已裁罰追蹤中	110/12/30	111/02/11	34	1	臺中市	清水區	"吳厝南段222,226地號"	111/05/20
已裁罰追蹤中	110/11/19	111/02/11	35	1	臺中市	霧峰區	四德段136地號	111/08/09
已裁罰追蹤中	110/08/03	111/02/11	36	1	臺中市	大肚區	瑞井段778-1地號	111/05/20
已裁罰追蹤中	111/01/04	111/02/14	37	1	臺中市	東勢區	大茅埔段978-4地號	111/08/01
已裁罰追蹤中	110/11/23	111/02/14	38	1	臺中市	大里區	仁城段205地號	111/08/15
已裁罰追蹤中	107/07/31	111/02/16	39	1	臺中市	石岡區	崁子下段912地號	
已裁罰追蹤中	111/01/10	111/02/17	40	1	臺中市	大里區	仁城段39地號	111/07/20
已裁罰追蹤中	110/12/13	111/02/17	41	1	臺中市	外埔區	頂竹圍段30-4地號	111/08/31
已裁罰追蹤中	110/12/09	111/02/17	42	1	臺中市	大安區	安劃段106-2地號	111/08/31
已裁罰追蹤中	110/12/03	111/02/17	43	1	臺中市	霧峰區	丁台一段89地號	111/08/15
已裁罰追蹤中	110/12/03	111/02/17	44	1	臺中市	霧峰區	舊正東段476地號	111/08/16
已裁罰追蹤中	110/12/24	111/02/18	45	1	臺中市	霧峰區	五福段927-3地號	111/08/17
