名稱,分類,定位地址,回報地址,X坐標,Y座標,來源
高鐵烏日站,大型車站,臺中市烏日區學田里站區二路8號,,210979.5398,2667504.866,Google
臺鐵烏日站,大型車站,臺中市烏日區三民街258號,,211624.3007,2667112.112,Opendata
臺鐵新烏日站,大型車站,臺中市烏日區高鐵東一路26號,,210790.5051,2667233.372,Opendata
臺鐵成功站,大型車站,臺中市烏日區中山路三段550號,,208340.5085,2667741.03,Opendata
臺鐵大慶站,大型車站,臺中市南區大慶街二段130號,,214292.9525,2668285.247,Opendata
臺鐵追分站,大型車站,臺中市大肚區追分街13號,,206310.4475,2668439.336,Opendata
臺鐵五權站,大型車站,臺中市南區建國南路二段201號,,216121.8845,2669322.19,Opendata
臺鐵臺中站,大型車站,臺中市中區臺灣大道一段1號,,218179.0079,2670240.22,Opendata
臺鐵精武站,大型車站,臺中市東區東光路161號,,219294.5897,2671589.278,Opendata
臺鐵大肚站,大型車站,臺中市大肚區平和街121號,,203506.7885,2672165.036,Opendata
臺鐵太原站,大型車站,臺中市北屯區東光路665號,,219511.1643,2673260.259,Opendata
臺鐵松竹站,大型車站,臺中市北屯區松竹路一段1473巷100號,,219728.1125,2675000.735,Opendata
臺鐵頭家厝站,大型車站,臺中市潭子區頭張東路43巷8號,,219933.9687,2676703.039,Opendata
臺鐵龍井站,大型車站,臺中市龍井區龍新路1號,,203610.5459,2676969.005,Opendata
臺鐵潭子站,大型車站,臺中市潭子區中山路二段352-1號,,220121.1827,2678592.94,Opendata
臺鐵栗林站,大型車站,臺中市潭子區潭豐路二段747號,,220615.2425,2681033.115,Opendata
臺鐵沙鹿站,大型車站,臺中市沙鹿區中正街94號,,205070.5689,2681360.304,Opendata
臺鐵豐原站,大型車站,臺中市豐原區中正路1-1號,,221925.8885,2683206.235,Opendata
臺鐵清水站,大型車站,臺中市清水區中正街115號,,206253.7479,2684291.795,Opendata
臺鐵臺中港站,大型車站,臺中市清水區甲南路2號,,209644.1785,2688829.115,Opendata
臺鐵后里站,大型車站,臺中市后里區甲后路一段1號,,222909.4357,2689302.097,Opendata
臺鐵泰安站,大型車站,臺中市后里區安眉路37-12號,,223795.5661,2691719.523,Opendata
臺鐵大甲站,大型車站,臺中市大甲區中山路一段828號,,212159.3207,2693216.32,Opendata
臺鐵日南站,大型車站,臺中市大甲區中山路二段140巷8號,,214915.9911,2696937.836,Opendata
臺中轉運站,大型車站,臺中市東區新民街88號,,218178.6524,2670425.47,Google
中港轉運站,大型車站,臺中市西屯區臺灣大道四段637號,臺中市西屯區福和里2鄰臺灣大道四段637號,211588.431,2674926.424,TGOS
和欣客運朝馬轉運站,大型車站,臺中市西屯區朝馬路8號,臺中市西屯區潮洋里21鄰朝馬路8號,213239.265,2673690.589,TGOS
員林客運臺中站,大型車站,臺中市中區雙十路一段35號之1,臺中市中區繼光里12鄰雙十路一段35之1號,218040.048,2670750.649,TGOS
國光客運臺中轉運站,大型車站,臺中市東區新民街88號,臺中市東區干城里12鄰新民街88號,218145.85,2670369.148,TGOS
國光客運朝馬轉運站,大型車站,臺中市西屯區朝富路8號,臺中市西屯區潮洋里6鄰朝富路8號,213259.054,2673728.501,TGOS
