編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
1,D01BA0002,臺南市東區竹篙厝段855-5地號,204000,82,長方形4.5:18.2,「住五」住宅區,60,210,臺南市東區崇學路273號,透天翰盈牙醫診所,0.45
2,D01BA0007,臺南市東區新東段467-1地號,141000,87,長方形4.5:19.3,「住五」住宅區,60,210,臺南市東區裕豐街202號,透天建發文具店,0.43
3,D01BA0008,臺南市東區裕東段655-4地號,145000,105.88,長方形5.0:21.2,「虎住三」住宅區,50,160,臺南市東區裕平路50號,透天住家用,1.7
4,D01BA0009,臺南市東區光明段934-20地號,195000,82,長方形4.2:19.5,「住五」住宅區,60,210,臺南市東區東安路83號,透天古丁原味品茶館,0.47
5,D01BA0012,臺南市東區竹篙厝段3932-4地號,192000,83,長方形4.2:19.8,「住五」住宅區,60,210,臺南市東區崇德路518號,透天黃修傑中醫診所,0.63
6,D01BA0013,臺南市東區竹篙厝段1578-1地號,197000,88,長方形4.3:20.4,「住五」住宅區,60,210,臺南市東區崇善路128號,透天李學院補習班,0.46
7,D01BA0014,臺南市東區裕東段135-28地號,175000,92.4,長方形4.2:22.0,「虎住二(附)」住宅區,50,160,臺南市東區裕農路868之5號,透天宏昌旗魚庚,1.05
8,D01BA0015,臺南市東區東光段364-3地號,183000,76,長方形4.2:18.0,「住五」住宅區,60,210,臺南市東區東光路二段19號,透天住家用,3.25
9,D01BA0016,臺南市東區竹篙厝段3120-10地號,189000,90,長方形4.3:21.0,「住五」住宅區,60,210,臺南市東區崇善路438號,透天陳勃旭耳鼻喉科,0.81
10,D01BA0017,臺南市東區裕東段381-7地號,152000,108,長方形4.5:24.0,「虎住二」住宅區,50,160,臺南市東區裕信路165號,透天斐提斯美髮店,2.65
11,D01BA0018,臺南市東區仁和段381-15地號,183000,78,長方形4.0:19.5,「住五」住宅區,60,210,臺南市東區仁和路87之2號,透天吳家紅茶冰,0.67
12,D01BA0019,臺南市東區新後甲段1809地號,206000,82.24,長方形4.4:18.7,「住五」住宅區,60,210,臺南市東區裕農路615號,透天阿吉鱔魚專家,1.34
13,D01BA0020,臺南市東區光明段597-90地號,188000,80,長方形4.5:17.8,「住五」住宅區,60,210,臺南市東區怡東路159號,透天百瀚外語補習班,2.13
14,D01BA0021,臺南市東區竹篙厝段1405地號,207000,147,長方形5.3:28.0,「住五」住宅區,60,210,臺南市東區中華東路三段92號,透天信義房屋,0.44
15,D01BA0022,臺南市東區育樂段98地號,212000,79,長方形5.0:15.8,「住五(附)」住宅區,60,210,臺南市東區大學路西段25號,透天皇平麵店,1.74
16,D01BA0023,臺南市東區竹篙厝段1935-25地號,201000,93,長方形4.5:20.7,「住五」住宅區,60,210,臺南市東區崇明路259號,透天文雄眼鏡行,0.45
17,D01BA0024,臺南市東區新東段1088-30地號,257000,83,長方形4.0:20.6,「住五(附)」住宅區,60,210,臺南市東區東寧路256號,透天得恩堂眼鏡行,2.17
18,D01BA0025,臺南市東區育樂段6031-8地號,263000,77,長方形4.2:18.3,「住五」住宅區,60,210,臺南市東區北門路一段302號,透天勝美美容美髮材料行,0
19,D01BB0005,臺南市東區育樂段1583地號,299000,64,長方形4.5:14.2,「商四」商業區,80,320,臺南市東區北門路一段96號,透天電腦伊甸園,0.51
20,D01BB0011,臺南市東區東安段978-3地號,214000,129,長方形4.7:27.4,商四(1)中心商業區,80,320,臺南市東區東門路二段33號,透天住商不動產,0.86
21,D01BB0012,臺南市東區東寧段602-5地號,212000,87,長方形4.9:18.3,商四(1)中心商業區,80,320,臺南市東區長榮路二段160號,透天長興牙醫,1.01
22,D01BB0026,臺南市東區東光段1009地號,325000,26202.22,長方形200.2:130.9,商三(65-1)副都心商業區,80,280,中華東路一段366號,透天南紡購物中心,1.03
23,D01BD0027,臺南市東區竹篙厝段2293-1地號、竹篙厝段2293-2地號,118000,383,長方形13.0:30.0,甲種工業區,70,210,臺南市東區中華東路三段95號,透天櫻花廚藝,0.78
24,D01BF0028,臺南市東區竹篙厝段4130地號,20200,11761,梯形92.0:128.0,農業區,0,0,,素地,1.52
25,D02BA0001,臺南市南區鹽埕段2164-2地號,128000,112,長方形5.0:22.4,「住二」住宅區,60,150,臺南市南區夏林路76號,透天RECORDS路口牛肉麵店,0
26,D02BA0002,臺南市南區新興段209-35地號,150000,109,長方形4.8:22.9,「住五-1」住宅區,60,200,臺南市南區金華路二段205號,透天皇家御櫃,1.02
27,D02BA0003,臺南市南區公英段103地號,153000,88,長方形5.0:17.6,「住六」住宅區,60,220,臺南市南區大同路二段344號,透天巧味鹽酥雞大王,0.4
28,D02BA0006,臺南市南區中和段1410地號,60200,73,長方形4.9:14.9,「住三」住宅區,60,165,臺南市南區灣裡路346號,透天波波洗衣店,1.02
29,D02BA0008,臺南市南區鹽埕段93-112地號,146000,96,長方形5.0:19.2,「住六」住宅區,60,220,臺南市南區健康路二段49號,透天住家用,0
