年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
48,999.8 ,992.1 ,977.0 ,977.9 ,977.0 ,961.5 ,931.9 ,883.8 ,857.3 ,871.1 ,896.2 ,897.7 
49,889.2 ,869.7 ,839.8 ,801.9 ,805.6 ,783.0 ,777.0 ,744.4 ,734.9 ,741.7 ,740.7 ,754.3 
50,752.6 ,738.5 ,738.5 ,733.3 ,732.8 ,732.8 ,735.9 ,727.1 ,716.4 ,711.5 ,717.4 ,724.0 
51,729.1 ,721.0 ,723.5 ,720.4 ,711.0 ,714.9 ,726.0 ,718.9 ,701.8 ,689.1 ,698.4 ,703.7 
52,697.0 ,696.5 ,695.1 ,690.5 ,696.5 ,702.7 ,711.5 ,710.0 ,688.6 ,689.1 ,697.5 ,699.4 
53,698.4 ,697.5 ,699.9 ,704.2 ,701.8 ,707.6 ,713.0 ,705.1 ,695.1 ,685.0 ,685.9 ,695.1 
54,704.2 ,706.6 ,709.0 ,706.6 ,702.7 ,699.4 ,698.4 ,694.7 ,690.9 ,696.5 ,695.1 ,690.9 
55,692.8 ,702.7 ,703.7 ,698.9 ,697.5 ,681.3 ,680.4 ,684.0 ,669.8 ,665.5 ,674.6 ,679.5 
56,674.6 ,662.0 ,673.7 ,675.1 ,672.4 ,667.2 ,658.6 ,659.9 ,653.2 ,656.5 ,657.4 ,651.1 
57,647.9 ,652.8 ,650.7 ,624.3 ,620.9 ,609.8 ,599.9 ,584.9 ,593.7 ,589.9 ,601.3 ,613.8 
58,608.8 ,600.9 ,603.0 ,600.2 ,607.0 ,601.6 ,589.6 ,578.0 ,578.3 ,530.3 ,554.3 ,580.3 
59,586.9 ,577.3 ,573.8 ,570.9 ,573.8 ,578.3 ,569.0 ,552.8 ,538.9 ,547.2 ,554.0 ,559.4 
60,549.3 ,551.6 ,554.3 ,555.5 ,554.9 ,554.9 ,554.6 ,545.2 ,545.5 ,541.8 ,543.5 ,544.6 
61,552.8 ,541.2 ,542.3 ,541.8 ,539.2 ,533.6 ,528.9 ,511.1 ,512.4 ,533.1 ,540.1 ,530.9 
62,544.9 ,537.2 ,538.9 ,531.1 ,524.4 ,518.8 ,504.6 ,493.7 ,473.7 ,439.1 ,430.5 ,428.0 
63,389.8 ,338.4 ,333.8 ,336.1 ,338.9 ,340.0 ,335.6 ,331.9 ,321.5 ,322.1 ,317.5 ,319.4 
64,322.4 ,322.0 ,324.7 ,322.6 ,322.4 ,315.3 ,315.3 ,314.1 ,314.5 ,310.5 ,313.1 ,318.7 
65,313.3 ,312.1 ,309.7 ,308.9 ,310.5 ,311.8 ,310.4 ,308.2 ,308.5 ,310.2 ,310.9 ,307.6 
66,303.6 ,298.7 ,299.9 ,297.6 ,296.3 ,287.3 ,287.0 ,274.9 ,278.7 ,281.8 ,286.7 ,288.1 
67,283.2 ,281.1 ,280.8 ,275.7 ,275.8 ,276.1 ,276.9 ,271.9 ,267.8 ,265.6 ,266.5 ,267.6 
68,266.7 ,265.5 ,261.9 ,256.8 ,254.7 ,252.0 ,249.8 ,243.5 ,235.8 ,236.5 ,239.9 ,237.9 
69,228.6 ,224.1 ,222.9 ,221.8 ,217.6 ,212.0 ,210.5 ,205.8 ,198.2 ,194.7 ,194.4 ,194.7 
70,186.2 ,183.1 ,182.3 ,181.6 ,182.3 ,180.6 ,179.9 ,178.1 ,176.0 ,177.0 ,178.2 ,178.5 
71,177.3 ,177.9 ,177.4 ,177.0 ,175.9 ,175.5 ,175.6 ,170.5 ,172.1 ,173.5 ,174.9 ,174.2 
72,174.2 ,172.4 ,171.7 ,171.0 ,172.2 ,170.9 ,172.8 ,172.9 ,172.4 ,172.4 ,173.9 ,176.3 
73,176.2 ,174.4 ,174.0 ,173.6 ,171.6 ,171.7 ,172.2 ,171.5 ,171.0 ,171.6 ,172.6 ,173.5 
74,173.4 ,172.0 ,171.9 ,172.8 ,173.3 ,173.6 ,173.4 ,174.2 ,171.3 ,171.5 ,173.9 ,175.7 
