名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
中友百貨,工商活動,百貨公司,臺中市北區三民路三段161號,臺中市北區三民路三段161號,217967.0450,2671917.003,Google
台中廣三SOGO,工商活動,百貨公司,臺中市西區臺灣大道二段459號,臺中市西區忠明里1鄰臺灣大道二段459號,215630.013,2672260.211,TGOS
大魯閣新時代購物中心,工商活動,百貨公司,臺中市東區復興路四段186號,臺中市東區新庄里28鄰復興路四段186號,218256.720,2670061.987,TGOS
台中大遠百,工商活動,百貨公司,臺中市西屯區臺灣大道三段251號,臺中市西屯區惠來里13鄰臺灣大道三段251號,213884.595,2673306.015,TGOS
新光三越 台中中港店,工商活動,百貨公司,臺中市西屯區臺灣大道三段301號,臺中市西屯區惠來里13鄰臺灣大道三段301號,213747.223,2673305.592,TGOS
台中老虎城購物中心,工商活動,百貨公司,臺中市西屯區河南路三段120號,臺中市西屯區潮洋里8鄰河南路三段120之1號,213218.734,2673264.776,TGOS
金典綠園道,工商活動,百貨公司,臺中市西區健行路1049號,臺中市西區忠明里22鄰健行路1049號,215774.573,2672315.330,TGOS
豐原太平洋百貨,工商活動,百貨公司,臺中市豐原區復興路2號,臺中市豐原區中山里2鄰復興路2號,221627.351,2682823.884,TGOS
日曜天地OUTLET,工商活動,百貨公司,臺中市中區自由路二段94號,臺中市中區公園里8鄰自由路二段94號,218016.247,2670875.475,TGOS
勤美誠品綠園道,工商活動,百貨公司,臺中市西區公益路68號,臺中市西區民龍里3鄰公益路68號,215841.166,2671817.872,TGOS
秀泰生活台中站前店S1館,工商活動,百貨公司,臺中市東區南京路76號,臺中市東區干城里12鄰南京路76號,218471.839,2670609.004,TGOS
秀泰生活台中站前店S2館,工商活動,百貨公司,臺中市東區南京路66號,臺中市東區干城里6鄰南京路66號,218677.070,2670590.041,TGOS
秀泰生活台中文心店,工商活動,百貨公司,臺中市南屯區文心南路289號,臺中市南屯區豐樂里25鄰文心南路289號,214029.264,2669476.068,TGOS
台中港三井OUTLET,工商活動,百貨公司,臺中市梧棲區臺灣大道十段168號,臺中市梧棲區安仁里9鄰臺灣大道十段168號,201074.113,2683580.205,TGOS
麗寶OUTLET MALL,工商活動,百貨公司,臺中市后里區福容路201號,臺中市后里區月眉里11鄰福容路201號,219348.056,2690913.595,TGOS
臺灣銀行大雅分行,工商活動,金融機構,臺中市大雅區中清路三段1080號,臺中市大雅區大雅里26鄰中清路三段1080號,214169.185,2679647.751,TGOS
臺灣銀行健行分行,工商活動,金融機構,臺中市中區臺灣大道一段276號,臺中市中區光復里17鄰臺灣大道一段276號,217563.540,2670729.941,TGOS
臺灣銀行大甲分行,工商活動,金融機構,臺中市大甲區民生路61號,臺中市大甲區孔門里1鄰民生路61號,211915.803,2693583.913,TGOS
臺灣銀行黎明分行,工商活動,金融機構,臺中市南屯區大業路607號,臺中市南屯區黎明里18鄰大業路607號,212754.863,2672066.589,TGOS
臺灣銀行太平分行,工商活動,金融機構,臺中市太平區中興東路146號,臺中市太平區成功里15鄰中興東路146號,221696.670,2669538.779,TGOS
臺灣銀行德芳分行,工商活動,金融機構,臺中市大里區德芳路一段63號,臺中市大里區內新里8鄰德芳路一段63號,218523.549,2667589.890,TGOS
臺灣銀行臺中工業區分行,工商活動,金融機構,臺中市西屯區工業區一路196號,臺中市西屯區協和里12鄰工業區一路196號,210722.388,2674281.203,TGOS
臺灣銀行中都分行,工商活動,金融機構,臺中市西屯區臺灣大道三段99號,臺中市西屯區惠來里45鄰臺灣大道三段99號,214160.291,2673008.313,TGOS
臺灣銀行臺中港分行,工商活動,金融機構,臺中市梧棲區四維路2號,臺中市梧棲區頂寮里16鄰四維路2號,202935.405,2683806.214,TGOS
臺灣銀行水湳分行,工商活動,金融機構,臺中市北屯區崇德路二段416號,臺中市北屯區崇德路二段416號,218113.8681,2674852.876,Google
臺灣銀行潭子分行,工商活動,金融機構,臺中市潭子區建國路1號,臺中市潭子區潭秀里5鄰建國路1號,220053.644,2679147.223,TGOS
臺灣銀行臺中科學園區分行,工商活動,金融機構,臺中市大雅區中科路6號,臺中市大雅區橫山里13鄰中科路6號,211272.633,2678319.708,TGOS
臺灣銀行豐原分行,工商活動,金融機構,臺中市豐原區中正路302號,臺中市豐原區中正路302號,221019.2092,2682875.2620,Google
臺灣銀行臺中分行,工商活動,金融機構,臺中市西區自由路一段140號,臺中市西區民生里8鄰自由路一段140號,217372.378,2670191.575,TGOS
臺灣銀行梧棲分行,工商活動,金融機構,臺中市梧棲區建五路2號,臺中市梧棲區草湳里13鄰建五路2號,200766.972,2681321.691,TGOS
臺灣銀行北臺中分行,工商活動,金融機構,臺中市北區進化北路369號,臺中市北區賴村里26鄰進化北路369號,217333.448,2673104.578,TGOS
