名稱,分類,次分類,類型,定位地址,回報地址,X坐標,Y座標,定位來源
私立惠明盲校 ,公共建設,學校,特殊學校,臺中市大雅區雅潭路四段336號,臺中市大雅區三和里1鄰雅潭路四段336號,215510.594,2679433.015,TGOS
臺中家商,公共建設,學校,高中,臺中市東區和平街50號,臺中市東區新庄里13鄰和平街50號,217944.744,2669845.169,TGOS
臺中高工,公共建設,學校,高中,臺中市南區高工路191號,臺中市南區永興里8鄰高工路191號,215576.016,2667625.222,TGOS
忠明高級中學,公共建設,學校,高中,臺中市西區博館路166號,臺中市西區忠明里23鄰博館路166號,215828.187,2672546.805,TGOS
臺中女中,公共建設,學校,高中,臺中市西區自由路一段95號,臺中市西區民生里25鄰自由路一段95號,217210.098,2670110.958,TGOS
臺中二中,公共建設,學校,高中,臺中市英士路109號,臺中市北區文莊里12鄰英士路109號,216993.469,2672026.361,TGOS
臺中一中,公共建設,學校,高中,臺中市北區育才街2號,臺中市北區新北里7鄰育才街2號,218190.345,2671578.953,TGOS
東山高中,公共建設,學校,高中,臺中市北屯區景賢六路200號,臺中市北屯區景賢六路200號,220745.7793,2673476.859,Google
臺中市立啟聰學校,公共建設,學校,高中,臺中市西屯區協和里安和路1號,臺中市西屯區協和里5鄰安和路1號,211121.877,2672962.936,TGOS
西苑高級中學,公共建設,學校,高中,臺中市西屯區西苑路268號,臺中市西屯區西安里2鄰西苑路268號,213614.263,2675727.51,TGOS
臺中文華高中,公共建設,學校,高中,臺中市西屯區寧夏路240號,臺中市西屯區何仁里15鄰寧夏路240號,215464.687,2673911.509,TGOS
惠文高中,公共建設,學校,高中,臺中市南屯區公益路二段298號,臺中市南屯區三義里10鄰公益路二段298號,213400.442,2671894.668,TGOS
臺中特殊教育學校,公共建設,學校,高中,臺中市南屯區公益路二段296號,臺中市南屯區溝墘里16鄰公益路二段296號,213559.192,2671895.938,TGOS
豐原高中,公共建設,學校,高中,臺中市豐原區水源路150號,臺中市豐原區水源路150號,223745.9175,2683363.589,Google
豐原高商,公共建設,學校,高中,臺中市豐原區圓環南路50號,臺中市豐原區西勢里7鄰圓環南路50號,220838.31,2682290.89,TGOS
市立啟明學校,公共建設,學校,高中,臺中市后里區廣福里三豐路三段936號,臺中市后里區廣福里16鄰三豐路三段936號,221911.401,2688928.654,TGOS
后綜高級中學,公共建設,學校,高中,臺中市后里區廣福里三豐路三段968號,臺中市后里區廣福里16鄰三豐路三段968號,221846.029,2688965.433,TGOS
神岡工業高中,公共建設,學校,高中,臺中市神岡區中山路627號,臺中市神岡區社南里8鄰中山路627號,217593.69,2682457.23,TGOS
清水高中,公共建設,學校,高中,臺中市清水區中山路90號,臺中市清水區清水里9鄰中山路90號,206763.079,2684477.143,TGOS
中港高級中學,公共建設,學校,高中,臺中市梧棲區文昌路400 號,臺中市梧棲區大村里7鄰文昌路400號,203506.086,2682209.989,TGOS
大甲高中,公共建設,學校,高中,臺中市大甲區中山路一段720號,臺中市大甲區南陽里12鄰中山路一段720號,211606.511,2692957.745,TGOS
大甲高工,公共建設,學校,高中,臺中市大甲區頂店里開元路71號,臺中市大甲區頂店里3鄰開元路71號,213924.665,2693816.995,TGOS
沙鹿工業高級中等學校,公共建設,學校,高中,臺中市沙鹿區臺灣大道七段823號,臺中市沙鹿區竹林里1鄰臺灣大道七段823號,205890.81,2681533.455,TGOS
龍津高級中學,公共建設,學校,高中,臺中市龍井區三港路130號,臺中市龍井區龍津里11鄰三港路130號,201397.57,2677770.589,TGOS
新社高級中學,公共建設,學校,高中,臺中市新社區復盛里中和街三段國中巷10號,臺中市新社區復盛里8鄰中和街三段國中巷10號,230425.41,2681248.257,TGOS
大里高級中學,公共建設,學校,高中,臺中市大里區國中路365號,臺中市大里區大元里7鄰國中路365號,217321.519,2665528.029,TGOS
霧峰農工,公共建設,學校,高中,臺中市霧峰區中正路1222號,臺中市霧峰區甲寅里4鄰中正路1222號,219741.932,2663080.764,TGOS
長億高級中學,公共建設,學校,高中,臺中市太平區長億六街一號,臺中市太平區長億里14鄰長億六街1號,221701.799,2667573.16,TGOS
東勢高工,公共建設,學校,高中,臺中市東勢區東關路六段1328號,臺中市東勢區新盛里1鄰東關路六段1328號,233126.152,2681945.909,TGOS
臺中市嘉陽高級中學 ,公共建設,學校,高中,臺中市清水區中航路三段1號,臺中市清水區鰲峰里20鄰中航路三段1號,207742.685,2684578.73,TGOS
致用高級中學 ,公共建設,學校,高中,臺中市大甲區甲東路512號,臺中市大甲區中山里18鄰甲東路512號,212547.579,2692880.52,TGOS
明道高級中學 ,公共建設,學校,高中,臺中市烏日區中山路一段497號,臺中市烏日區仁德里14鄰中山路一段497號,212969.967,2666887.203,TGOS
青年高級中學 ,公共建設,學校,高中,臺中市大里區中湖路100號,臺中市大里區東湖里30鄰中湖路100號,218870.13,2664744.37,TGOS
立人高級中學 ,公共建設,學校,高中,臺中市大里區中興路二段380號,臺中市大里區中新里1鄰中興路二段380號,218591.916,2666748.493,TGOS
大明高級中學 ,公共建設,學校,高中,臺中市大里區新仁路三段210號,臺中市大里區大明里5鄰新仁路三段210號,218074.42,2667946.37,TGOS
僑泰高級中學 ,公共建設,學校,高中,臺中市大里區樹王路342號,臺中市大里區樹王里14鄰樹王路342號,216147.87,2667447.609,TGOS
明台高中 ,公共建設,學校,高中,臺中市霧峰區萊園路91號,臺中市霧峰區萊園里7鄰萊園路91號,219796.024,2661894.75,TGOS
慈明高中 ,公共建設,學校,高中,臺中市太平區光德路388號,臺中市太平區光德路388號,222039.8205,2666896.081,Google
華盛頓高級中學 ,公共建設,學校,高中,臺中市太平區廍仔坑路26號,臺中市太平區廍仔坑路26號,224099.2537,2672589.545,Google
光華高工 ,公共建設,學校,高中,臺中巿太平區東平路18號,臺中市太平區東和里1鄰東平路18號,223265.389,2670290.441,TGOS
玉山高級中學 ,公共建設,學校,高中,臺中市東勢區東崎路四段399號,臺中市東勢區中嵙里11鄰東崎路四段399號,234282.864,2682781.865,TGOS
大智國民小學,公共建設,學校,國小,臺中市東區大智路359號,臺中市東區東橋里17鄰大智路359號,218571.215,2669301.591,TGOS
進德國民小學,公共建設,學校,國小,臺中市東區東勢里進化路135號,臺中市東區東勢里27鄰進化路135之1號,218921.147,2671139.524,TGOS
成功國民小學,公共建設,學校,國小,臺中市東區旱溪西路一段300號,臺中市東區樂成里7鄰旱溪西路一段300號,219437.655,2670248.305,TGOS
樂業國民小學,公共建設,學校,國小,臺中市東區樂業路60號,臺中市東區泉源里15鄰樂業路60號,218940.073,2670349.74,TGOS
臺中國民小學,公共建設,學校,國小,臺中市東區臺中路153號,臺中市東區振興里15鄰臺中路153號,217955.09,2669624.322,TGOS
力行國民小學,公共建設,學校,國小,臺中市東區東勢里17鄰進化路223號,臺中市東區東勢里17鄰進化路223號,218896.502,2671746.282,TGOS
樹義國民小學,公共建設,學校,國小,臺中市南區福田路11號,臺中市南區樹義里32鄰福田路11號,215173.739,2667466.055,TGOS
樹德國民小學,公共建設,學校,國小,臺中市南區復興北路566號,臺中市南區樹德里25鄰復興北路566號,214279.258,2667771.239,TGOS
信義國民小學,公共建設,學校,國小,臺中市南區五權南路325號,臺中市南區平和里4鄰五權南路325號,216441.62,2668538.339,TGOS
和平國民小學,公共建設,學校,國小,臺中市南區復興路二段57號,臺中市南區和平里1鄰復興路二段57號,215385.625,2668415.552,TGOS
國光國民小學,公共建設,學校,國小,臺中市南區國光路261號,臺中市南區國光里24鄰國光路261號,217459.764,2668951.057,TGOS
大同國民小學,公共建設,學校,國小,臺中市西區自由路一段138號,臺中市西區民生里25鄰自由路一段138號,217299.027,2670082.038,TGOS
忠孝國民小學,公共建設,學校,國小,臺中市西區三民路一段171號,臺中市西區三民里3鄰三民路一段171號,216833.01,2670323.396,TGOS
大勇國民小學,公共建設,學校,國小,臺中市西區忠明南路515號,臺中市西區吉龍里25鄰忠明南路515號,215220.315,2669959.526,TGOS
忠信國民小學,公共建設,學校,國小,臺中市西區林森路155號,臺中市西區公民里13鄰林森路155號,216316.257,2670488.044,TGOS
忠明國民小學,公共建設,學校,國小,臺中市西區臺灣大道二段556號,臺中市西區忠誠里11鄰臺灣大道二段556號,215361.568,2672541.393,TGOS
中正國民小學,公共建設,學校,國小,臺中市西區英才路423號,臺中市西區民龍里14鄰英才路423號,216069.236,2671884.674,TGOS
賴厝國民小學,公共建設,學校,國小,臺中市北區漢口路四段168號,臺中市北區賴厝里10鄰漢口路四段168號,217352.977,2673504.177,TGOS
中華國民小學,公共建設,學校,國小,臺中市北區漢口路三段2號,臺中市北區漢口路三段2號,216100.1087,2673407.046,Google
太平國民小學,公共建設,學校,國小,臺中市北區太平路74號,臺中市北區錦平里16鄰太平路74號,217687.147,2671588.052,TGOS
省三國民小學,公共建設,學校,國小,臺中市北區崇德路一段107號,臺中市北區建興里10鄰崇德路一段107號,217971.777,2672753.524,TGOS
立人國民小學,公共建設,學校,國小,臺中市北區北平路一段60號,臺中市北區北平路一段60號,216332.3784,2674073.65,Google
健行國民小學,公共建設,學校,國小,臺中市北區健行路666號,臺中市北區健行里35鄰健行路666號,216747.489,2672712.132,TGOS
篤行國民小學,公共建設,學校,國小,臺中市北區篤行路321號,臺中市北區中達里5鄰篤行路321號,216771.519,2672250.551,TGOS
光復國民小學,公共建設,學校,國小,臺中市中區三民路二段148號,臺中市中區大墩里28鄰三民路二段148號,217653.924,2670999.43,TGOS
四張犁國民小學,公共建設,學校,國小,臺中市北屯區后庄路910號,臺中市北屯區仁和里14鄰后庄路910號,217296.397,2676394.322,TGOS
廍子國民小學,公共建設,學校,國小,臺中市北屯區景賢路290號,臺中市北屯區廍子里16鄰景賢路290號,221712.019,2673586.961,TGOS
軍功國民小學,公共建設,學校,國小,臺中市北屯區軍福十三路300號,臺中市北屯區和平里20鄰軍福十三路300號,221478.908,2674238.615,TGOS
北屯國民小學,公共建設,學校,國小,臺中市北屯區進化北路2號,臺中市北屯區北京里7鄰進化北路2號,218647.475,2673139.447,TGOS
東光國民小學,公共建設,學校,國小,臺中市北屯區東光路926號,臺中市北屯區東光里4鄰東光路926號,219693.747,2674082.308,TGOS
文心國民小學,公共建設,學校,國小,臺中市北屯區文心路四段575號,臺中市北屯區平和里2鄰文心路四段575號,217757.535,2674237.285,TGOS
松強國民小學,公共建設,學校,國小,臺中市北屯區九甲巷11-6號,臺中市北屯區松強里8鄰九甲巷14之5號,219326.203,2675935.361,TGOS
四維國民小學,公共建設,學校,國小,臺中市北屯區文心路四段956號,臺中市北屯區平昌里1鄰文心路四段956號,219005.171,2673933.625,TGOS
僑孝國民小學,公共建設,學校,國小,臺中市北屯區北屯路435號,臺中市北屯區舊社里13鄰北屯路435號,219473.769,2674732.372,TGOS
逢甲國民小學,公共建設,學校,國小,臺中市北屯區北坑巷60號,臺中市北屯區北坑巷60號,225478.2803,2673729.459,Google
仁美國民小學,公共建設,學校,國小,臺中市北屯區崇德路三段568號,臺中市北屯區仁美里19鄰崇德路三段568號,218184.391,2676347.458,TGOS
文昌國民小學,公共建設,學校,國小,臺中市北屯區昌平路一段91號,臺中市北屯區平昌里8鄰昌平路一段91號,218649.562,2673683.526,TGOS
陳平國民小學,公共建設,學校,國小,臺中市北屯區陳平路58號,臺中市北屯區忠平里8鄰陳平路58號,216216.78,2675529.324,TGOS
松竹國民小學,公共建設,學校,國小,臺中市北屯區昌平路二段12號,臺中市北屯區松和里26鄰昌平路二段12號,218495.573,2675091.214,TGOS
建功國民小學,公共建設,學校,國小,臺中市北屯區軍功里軍和街43號,臺中市北屯區軍功里18鄰軍和街43號,221088.685,2674538.762,TGOS
仁愛國民小學,公共建設,學校,國小,臺中市北屯區四平路71號,臺中市北屯區仁愛里17鄰四平路71號,216627.125,2675018.705,TGOS
新興國民小學,公共建設,學校,國小,臺中市北屯區新興路20號,臺中市北屯區同榮里15鄰新興路20號,215713.951,2676627.85,TGOS
大坑國民小學,公共建設,學校,國小,臺中市北屯區東山路二段112號,臺中市北屯區大坑里8鄰東山路二段112號,224418.378,2676749.626,TGOS
東海國民小學,公共建設,學校,國小,臺中市西屯區福聯里國際街75號,臺中市西屯區福聯里7鄰國際街75號,208747.394,2675576.035,TGOS
西屯國民小學,公共建設,學校,國小,臺中市西屯區西屯路二段300號,臺中市西屯區西安里3鄰西屯路二段300號,213493.674,2674953.835,TGOS
永安國民小學,公共建設,學校,國小,臺中市西屯區西屯路三段133號,臺中市西屯區西屯路三段133號,211908.0165,2675564.774,Google
上安國民小學,公共建設,學校,國小,臺中市西屯區上安路156號,臺中市西屯區至善里16鄰上安路156號,213334.465,2674175.688,TGOS
何厝國民小學,公共建設,學校,國小,臺中市西屯區重慶路1號,臺中市西屯區何安里2鄰重慶路1號,214833.245,2673179.828,TGOS
泰安國民小學,公共建設,學校,國小,臺中市西屯區環中路二段368號,臺中市西屯區港尾里11鄰環中路二段368號,214319.636,2676957.058,TGOS
