名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
梨山遊憩區,公共建設,觀光遊憩設施,臺中市和平區中正路91之2號,臺中市和平區梨山里24鄰中正路91之2號,275505.114,2683257.921,TGOS
大坑登山步道,公共建設,觀光遊憩設施,臺中市北屯區東山路一段383巷,臺中市北屯區和平里19鄰東山路一段383巷3號,222890.821,2674993.18,TGOS
后里馬場,公共建設,觀光遊憩設施,臺中市后里區寺山路41號,敦富路.南興北三路北側,223201.459,2688138.154,TGOS
臺中都會公園,公共建設,觀光遊憩設施,臺中市西屯區都會園路1215巷140號,臺中市西屯區林厝里11鄰都會園路1215巷140號,209011.833,2677868.585,TGOS
草悟道,公共建設,觀光遊憩設施,臺中市西區公益路68號,臺中市西區民龍里3鄰公益路68號,215841.166,2671817.872,TGOS
武陵農場,公共建設,觀光遊憩設施,臺中市和平區武陵路3之1號,臺中市和平區平等里5鄰武陵路3之1號,281272.577,2693405.662,TGOS
八仙山國家森林遊樂區,公共建設,觀光遊憩設施,臺中市和平區東關路一段200之8號,臺中市和平區博愛里2鄰東關路一段200之8號,251531.329,2676264.856,TGOS
麗寶樂園渡假村,公共建設,觀光遊憩設施,臺中市后里區福容路88號,臺中市后里區月眉里11鄰福容路88號,219215.181,2690896.83,TGOS
萬和宮,公共建設,觀光遊憩設施,臺中市南屯區萬和路一段51號,臺中市南屯區南屯里12鄰萬和路一段51號,213320.978,2670332.389,TGOS
大甲鎮瀾宮,公共建設,觀光遊憩設施,臺中市大甲區順天路158號,臺中市大甲區大甲里4鄰順天路158號,211808.019,2693321.345,TGOS
霧峰林家園區,公共建設,觀光遊憩設施,臺中市霧峰區民生路26號,臺中市霧峰區本堂里2鄰民生路26號,219575.526,2662011.279,TGOS
一中商圈,公共建設,觀光遊憩設施,臺中市北區一中街,臺中市北區一中街,218034.9683,2671710.876,Google
潭雅神綠園道,公共建設,觀光遊憩設施,臺中市神岡區,臺中市神岡區,218973.8557,2680858.638,Google
谷關遊憩區,公共建設,觀光遊憩設施,臺中市和平區中部橫貫公路172號,臺中市和平區中部橫貫公路172號,250281.9496,2677456.081,Google
國立自然科學博物館,公共建設,觀光遊憩設施,臺中市北區館前路1號,臺中市北區淡溝里30鄰館前路1號,216075.481,2672318.319,TGOS
福壽山農場,公共建設,觀光遊憩設施,臺中市和平區福壽路29號,臺中市和平區梨山里10鄰福壽路29號,274961.146,2682173.064,TGOS
梧棲觀光漁港,公共建設,觀光遊憩設施,臺中市清水區北堤路30號,臺中市清水區海濱里14鄰北堤路30號,201381.16,2687563.708,TGOS
國立臺灣美術館,公共建設,觀光遊憩設施,臺中市西區五權西路一段2號,臺中市西區土庫里3鄰五權西路一段2號,215808.402,2670737.955,TGOS
東豐自行車綠廊及后豐鐵馬道,公共建設,觀光遊憩設施,臺中市石岡區石城街1號,臺中市石岡區萬安里11鄰石城街1號,227534.59,2685609.256,TGOS
鐵砧山,公共建設,觀光遊憩設施,臺中市大甲區成功路221號,臺中市大甲區頂店里2鄰成功路221號,214490.32,2694847.486,TGOS
大雪山國家森林遊樂區,公共建設,觀光遊憩設施,臺中市和平區雪山路18號,臺中市和平區博愛里3鄰雪山路18號,250831.06,2683300.265,TGOS
東勢林場遊樂區,公共建設,觀光遊憩設施,臺中市東勢區勢林街6之1號,臺中市東勢區東新里9鄰勢林街6之1號,237011.97,2686341.358,TGOS
臺中公園,公共建設,觀光遊憩設施,臺中市北區雙十路一段65號,臺中市北區雙十路一段65號,218058.1726,2671058.904,TGOS
高美濕地,公共建設,觀光遊憩設施,臺中市清水區美堤街8號,臺中市清水區高南里8鄰美堤街8號,204078.045,2688877.356,TGOS
臺中國家歌劇院,公共建設,觀光遊憩設施,臺中市西屯區惠來路二段101號,臺中市西屯區惠來里12鄰惠來路二段101號,213533.861,2673074.22,TGOS
逢甲夜市,公共建設,觀光遊憩設施,臺中市西屯區文華路,臺中市西屯區文華路,213980.0253,213980.0253,Google
南屯區-公有-廣兼停158停車場,公共建設,停車場地,,,213615.4077,2670397.153,Open data
南屯區-公有-南屯親子館附屬平面停車場,公共建設,停車場地,,,213747.4922,2670381.311,Open data
西區-衛福-衛生福利部臺中醫院停車場,公共建設,停車場地,,,217152.608,2670539.176,Open data
南屯區-民營-宜家家居台中店停車場,公共建設,停車場地,,,213780.7354,2671463.267,Open data
西屯區-民營-聯永物業股份有限公司台中二十五站停車場,公共建設,停車場地,,,215301.1275,2673985.72,Open data
大雅區-民營-雅潭站停車場,公共建設,停車場地,,,214360.0898,2679596.532,Open data
西區-民營-Times台中美村路停車場,公共建設,停車場地,,,215619.719,2671272.644,Open data
烏日區-民營-烏日二站停車場,公共建設,停車場地,,,210996.6945,2667948.725,Open data
豐原區-民營-南陽永康停車場,公共建設,停車場地,,,222164.8995,2681824.007,Open data
北屯區-民營-太順二停車場,公共建設,停車場地,,,221984.5097,2672746.075,Open data
西屯區-民營-Times台中甘肅成都停車場,公共建設,停車場地,,,215431.8503,2673422.783,Open data
西屯區-民營-市政星停車場,公共建設,停車場地,,,212910.4366,2672879.807,Open data
北區-民營-金逢源開發股份有限公司漢口停車場,公共建設,停車場地,,,217088.4386,2673553.97,Open data
西區-民營-Times台中自治街停車場,公共建設,停車場地,,,216562.8324,2670409.862,Open data
西屯區-民營-聯永物業股份有限公司台中二十六站停車場,公共建設,停車場地,,,215605.9811,2673997.162,Open data
西屯區-民營-全善停車場,公共建設,停車場地,,,213707.4439,2674602.156,Open data
西屯區-民營-Times台中文心一路停車場,公共建設,停車場地,,,213630.1756,2672199.041,Open data
