名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
臺電黎明配電變電所,特殊設施,變電所或高壓電塔,臺中市西屯區朝貴路198號,臺中市西屯區潮洋里2鄰朝貴路198號,212872.872,2673659.835,TGOS
臺電豐樂配電變電所,特殊設施,變電所或高壓電塔,臺中市南屯區永春東路799號,臺中市南屯區豐樂里13鄰永春東路799號,213708.19,2669936.217,TGOS
臺電豐原配電變電所,特殊設施,變電所或高壓電塔,臺中市豐原區中正路599號,臺中市豐原區社皮里19鄰中正路599之1號,220335.185,2682678.62,TGOS
臺電大雅配電變電所,特殊設施,變電所或高壓電塔,臺中市大雅區雅潭路四段399號,臺中市大雅區二和里18鄰雅潭路四段399號,215328.693,2679427.264,TGOS
臺電上城配電變電所,特殊設施,變電所或高壓電塔,臺中市東勢區東關路367巷30之2號,臺中市東勢區東關路367巷30之2號,233759.0227,2679544.999,Google
臺電中科超高壓變電所,特殊設施,變電所或高壓電塔,臺中市中科園區科園一路1號,臺中市西屯區林厝里2鄰科園一路1號,210008.076,2677329.852,TGOS
臺電機科配電變電所,特殊設施,變電所或高壓電塔,臺中市南屯區精科中路10號,臺中市南屯區文山里39鄰精科中路10號,209213.611,2671444.615,TGOS
臺電后里超高壓變電所,特殊設施,變電所或高壓電塔,臺中市后里區永興路17之50號,臺中市后里區仁里里8鄰永興路17之50號,223618.296,2690246.603,TGOS
臺電國安配電變電所,特殊設施,變電所或高壓電塔,臺中市西屯區西屯路三段170之12號,臺中市西屯區永安里11鄰西屯路三段170之12號,209915.383,2676526.379,TGOS
臺電航太配電變電所,特殊設施,變電所或高壓電塔,臺中市大雅區科雅東路36號,臺中市大雅區秀山里14鄰科雅東路36號,212355.875,2679779.427,TGOS
臺電工甲配電變電所,特殊設施,變電所或高壓電塔,臺中市台中工業區三十路7號,臺中市台中工業區三十路7號,209012.7011,2673201.555,Google
臺電明秀配電變電所,特殊設施,變電所或高壓電塔,臺中市沙鹿區南陽路409號,臺中市沙鹿區六路里14鄰南陽路409號,206532.693,2678982.024,TGOS
臺電中清一次變電所,特殊設施,變電所或高壓電塔,臺中市清水區臨海路34之1號,臺中市清水區國姓里12鄰臨海路34之2號,208454.06,2688852.87,TGOS
臺電工乙配電變電所,特殊設施,變電所或高壓電塔,臺中市台中工業區三十七路50號,臺中市台中工業區三十七路50號,208113.9816,2673604.399,Google
臺電潭南配電變電所,特殊設施,變電所或高壓電塔,臺中市潭子區豐興路一段28號,臺中市潭子區聚興里4鄰豐興路一段28號,221476.741,2676320.669,TGOS
臺電塗城配電變電所,特殊設施,變電所或高壓電塔,臺中市太平區工業二十路95號,臺中市太平區德隆里18鄰工業二十路95號,221590.91,2667048.799,TGOS
臺電學田配電變電所,特殊設施,變電所或高壓電塔,臺中市烏日區學田路81號,臺中市烏日區三和里14鄰學田路81號,210035.736,2667397.134,TGOS
臺電中西配電變電所,特殊設施,變電所或高壓電塔,臺中市西屯路一段230號,臺中市西屯路一段230號,216497.67,2672108.95,TGOS
臺電港工配電變電所,特殊設施,變電所或高壓電塔,臺中市梧棲區緯一路1號,臺中市梧棲區草湳里13鄰緯一路1號,200350.486,2680765.427,TGOS
臺電烏日配電變電所,特殊設施,變電所或高壓電塔,臺中市烏日區長春街1001號,臺中市烏日區烏日里1鄰長春街1001之1號,212032.483,2667040.068,TGOS
臺電昌平配電變電所,特殊設施,變電所或高壓電塔,臺中市北區豐樂一街77號,臺中市北區豐樂一街77號,217520.1103,2676686.999,Google
臺電翁子一次變電所,特殊設施,變電所或高壓電塔,臺中市豐原區豐年路61號,臺中市豐原區翁社里16鄰豐年路61號,223231.14,2684162.879,TGOS
臺電十甲配電變電所,特殊設施,變電所或高壓電塔,臺中市東區東英十街187號,臺中市東區東英里8鄰東英十街187號,220601.04,2670957.734,TGOS
臺電外埔配電變電所,特殊設施,變電所或高壓電塔,臺中市外埔區三崁路59之8號,臺中市外埔區三崁里7鄰三崁路59之8號,214366.337,2690566.561,TGOS
臺電英才配電變電所,特殊設施,變電所或高壓電塔,臺中市西區英才路595號,臺中市西區安龍里4鄰英才路595號,216001.725,2670879.294,TGOS
臺電南屯配電變電所,特殊設施,變電所或高壓電塔,臺中市西區美村路一段484號,臺中市西區土庫里13鄰美村路一段484號,215593.075,2670762.81,TGOS
臺電潭寶配電變電所,特殊設施,變電所或高壓電塔,臺中市潭子區崇德路四段359號,臺中市潭子區東寶里13鄰崇德路四段359號,218240.902,2678779.79,TGOS
臺電北柳配電變電所,特殊設施,變電所或高壓電塔,臺中市霧峰區霧工七路11號,臺中市霧峰區南柳里8鄰霧工七路11號,217140.538,2661662.129,TGOS
臺電中港超高壓變電所,特殊設施,變電所或高壓電塔,臺中市龍井區向上路六段563號,臺中市龍井區新庄里11鄰向上路六段563號,206700.326,2675340.308,TGOS
臺電中沙配電變電所,特殊設施,變電所或高壓電塔,臺中市梧棲區中華路一段909號,臺中市梧棲區興農里20鄰中華路一段909號,204152.366,2681420.629,TGOS
臺電德義配電變電所,特殊設施,變電所或高壓電塔,臺中市南區忠孝路97號,臺中市南區忠孝路97號,217305.031,2669243.697,Google
臺電太平配電變電所,特殊設施,變電所或高壓電塔,臺中市太平區新平路二段99號,臺中市太平區宜佳里3鄰新平路二段99號,221022.549,2670401.759,TGOS
臺電忠明配電變電所,特殊設施,變電所或高壓電塔,臺中市東興路三段401號,臺中市西屯區何南里8鄰東興路三段401號,214937.834,2672569.318,TGOS
臺電中市一次變電所,特殊設施,變電所或高壓電塔,臺中市南屯區永春路38之30號,臺中市南屯區新生里10鄰永春路38之30號,211615.595,2670787.774,TGOS
臺電海尾配電變電所,特殊設施,變電所或高壓電塔,臺中市龍井區海尾路322號,臺中市龍井區忠和里14鄰海尾路322號,200392.299,2679377.35,TGOS
臺電文心配電變電所,特殊設施,變電所或高壓電塔,臺中市北屯區北屯路365號,臺中市北屯區北屯路365號,219317.0308,2674001.441,Google
臺電新社配電變電所,特殊設施,變電所或高壓電塔,臺中市新社區興社街二段20號,臺中市新社區復盛里4鄰興社街二段20號,230875.537,2680030.02,TGOS
臺電霧峰超高壓變電所,特殊設施,變電所或高壓電塔,臺中市霧峰區民生路174號,臺中市霧峰區甲寅里24鄰民生路174號,220055.863,2662902.697,TGOS
臺電建平配電變電所,特殊設施,變電所或高壓電塔,臺中市太平區鵬儀路312巷12號,臺中市太平區建國里11鄰鵬儀路312巷12號,222389.429,2668829.54,TGOS
臺電中華配電變電所,特殊設施,變電所或高壓電塔,臺中市北區中華路二段165號,臺中市北區錦平里16鄰中華路二段171之1號,217605.187,2671709.208,TGOS
臺電水湳配電變電所,特殊設施,變電所或高壓電塔,臺中市西屯區文心路三段251號,臺中市西屯區大鵬里32鄰文心路三段251號,215800.348,2674196.867,TGOS
臺電日南二次變電所,特殊設施,變電所或高壓電塔,臺中市大甲區幼五路36號,臺中市大甲區日南里19鄰幼五路28號,215039.828,2700145.098,TGOS
臺電台中二次變電所,特殊設施,變電所或高壓電塔,臺中市雙十路二段32號,臺中市雙十路二段32號,218476.3989,2672255.838,Google
臺電北屯二次變電所,特殊設施,變電所或高壓電塔,臺中市文心路四段1001號,臺中市北屯區東光里11鄰文心路四段1001號,219261.56,2674001.986,TGOS
臺電中區二次變電所,特殊設施,變電所或高壓電塔,臺中市自由路二段86號,臺中市中區公園里8鄰自由路二段86號,217943.062,2670755.291,TGOS
臺電自由二次變電所,特殊設施,變電所或高壓電塔,臺中市自由路二段86號,臺中市中區公園里8鄰自由路二段86號,217943.062,2670755.291,TGOS
臺電中東二次變電所,特殊設施,變電所或高壓電塔,臺中市東區育英路2號,臺中市東區樂成里15鄰育英路2號,219318.731,2669853.213,TGOS
臺電國中二次變電所,特殊設施,變電所或高壓電塔,臺中市大里區國中路186號,臺中市大里區大元里21鄰國中路186號,217690.299,2665715.87,TGOS
臺電大里二次變電所,特殊設施,變電所或高壓電塔,臺中市大里區國中路186號,臺中市大里區大元里21鄰國中路186號,217690.299,2665715.87,TGOS
臺電九德二次變電所,特殊設施,變電所或高壓電塔,臺中市烏日區中山路和平巷67號,臺中市烏日區前竹里9鄰中山路一段和平巷67號,213917.151,2666952.191,TGOS
臺電西屯二次變電所,特殊設施,變電所或高壓電塔,臺中市西屯區文華路210號,臺中市西屯區文華路210號,214056.6551,2675476.654,Google
臺電東海二次變電所,特殊設施,變電所或高壓電塔,臺中市西屯區工業區一路1號,臺中市西屯區福中里12鄰工業區一路1號,210595.571,2673490.421,TGOS
臺電嶺東二次變電所,特殊設施,變電所或高壓電塔,臺中市工業路五段16號,臺中市龍井區忠和里19鄰工業路16號,201617.329,2678470.149,TGOS
臺電瑞峰二次變電所,特殊設施,變電所或高壓電塔,臺中市工業區十二路14號,臺中市工業區十二路14號,209019.4111,2674370.874,Google
臺電沙鹿二次變電所,特殊設施,變電所或高壓電塔,臺中市沙鹿區七賢路9號,臺中市沙鹿區七賢路9號,206119.2787,2681386.732,Google
臺電龍泉二次變電所,特殊設施,變電所或高壓電塔,臺中市龍井區沙田路五段382號,臺中市龍井區龍泉里1鄰沙田路五段382號,204136.038,2677617.663,TGOS
臺電王田二次變電所,特殊設施,變電所或高壓電塔,臺中市大肚區南榮路68號,臺中市大肚區南榮路68號,207581.2633,2667635.42,Google
臺電大肚二次變電所,特殊設施,變電所或高壓電塔,臺中市大肚區文昌路一段182號,臺中市大肚區永和里10鄰文昌路一段182號,203343.476,2671814.714,TGOS
臺電關連二次變電所,特殊設施,變電所或高壓電塔,臺中市梧棲區自強路5號,臺中市梧棲區草湳里11鄰自強路15號,202112.086,2681080.299,TGOS
臺電梧棲二次變電所,特殊設施,變電所或高壓電塔,臺中市清水區中橫十五路2號,臺中市清水區中橫十五路2號,202256.8178,2686082.697,Google
臺電清泉二次變電所,特殊設施,變電所或高壓電塔,臺中市清水區光華路4號,臺中市清水區清水里22鄰光華路4號,206563.856,2684214.799,TGOS
臺電大甲二次變電所,特殊設施,變電所或高壓電塔,臺中市大甲區中山路一段880號,臺中市大甲區岷山里12鄰中山路一段880號,212232.999,2693603.668,TGOS
臺電后豐二次變電所,特殊設施,變電所或高壓電塔,臺中市后里區三豐路354號,臺中市后里區三豐路354號,221998.4974,2689959.073,Google
臺電東勢二次變電所,特殊設施,變電所或高壓電塔,臺中市東勢區中新街西新巷88之1號,臺中市東勢區廣興里16鄰中新街西新巷88之1號,232857.807,2683601.694,TGOS
臺電豐二二次變電所,特殊設施,變電所或高壓電塔,臺中市豐原區水源路600號,臺中市豐原區水源路600號,222471.3967,2683352.401,Google
臺電神岡二次變電所,特殊設施,變電所或高壓電塔,臺中市神岡區中山路1572號,臺中市神岡區神岡里5鄰中山路1572號,215233.59,2683753,TGOS
臺電潭子二次變電所,特殊設施,變電所或高壓電塔,臺中市潭子區中山路二段77號,臺中市潭子區福仁里18鄰中山路二段77號,219991.682,2677832.708,TGOS
臺電栗林二次變電所,特殊設施,變電所或高壓電塔,臺中市潭子區中山路三段305巷48號,臺中市潭子區栗林里8鄰中山路三段305巷48號,220154.989,2680470.392,TGOS
