名稱,分類,次分類,污染類別,定位地址,回報地址,X坐標,Y座標,來源
薰漢營造工程股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區南興路,找不到指定的門牌地址。,,,Google
特傑營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市神岡區光復段133之37地號,臺中市神岡區光復段133之37地號,214556.748,2683422.323,NLSC
台灣聯通停車場開發股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市西區公益路325號附近,臺中市西區公德里1鄰公益路325號,215098.228,2671748.551,TGOS
廣銓環保科技有限公司,特殊設施,環境污染,一般廢棄物,臺中市清水區港埠路五段與三順路路口,臺中市清水區港埠路五段與三順路路口,204604.9538,2687904.546,Google
國洲營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市龍井區遠東段955地號土地附近道路,臺中市龍井區遠東段955地號,208275.402,2676247.343,NLSC
寶毅機械有限公司,特殊設施,環境污染,一般廢棄物,臺中市潭子區嘉豐路106號,臺中市潭子區嘉仁里6鄰嘉豐路106號,221041.127,2679458.075,TGOS
鉦盛營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市龍井區龍新路216巷35弄,找不到指定的門牌地址。,,,Google
家宇營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區大連北街24巷7號後方,臺中市北屯區水湳里13鄰大連北街24巷7號,216924.538,2674749.352,TGOS
瓏寶營造股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區景賢路,找不到指定的門牌地址。,,,Google
洛城營造有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區洲際段23地號,臺中市北屯區洲際段23地號,217762.648,2677189.062,NLSC
楊敏雄養豬場,特殊設施,環境污染,一般廢棄物,臺中市烏日區溪南路一段506巷351號,臺中市烏日區東園里2鄰溪南路一段506巷351號,212853.518,2663772.64,TGOS
原融工程有限公司,特殊設施,環境污染,一般廢棄物,臺中市南屯區中台路73巷底土地,臺中市南屯區中台路73巷底,209088.8971,2669937.452,Google
澄鎧建設有限公司,特殊設施,環境污染,一般廢棄物,臺中市龍井區新興段646地號,臺中市龍井區新興段646地號,208329.692,2675152.393,NLSC
一信衛生工程股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市西屯區青海路二段207之18號後方,臺中市西屯區上德里25鄰青海路二段207之18號,213970.149,2673904.498,TGOS
非常機車行,特殊設施,環境污染,一般廢棄物,臺中市大里區中興路二段91之1號附近,臺中市大里區長榮里27鄰中興路二段91之1號,218305.956,2666384.072,TGOS
聯邦工程行,特殊設施,環境污染,一般廢棄物,臺中市北屯區東山路一段242之1號附近,臺中市北屯區軍功里23鄰東山路一段242之1號,221323.342,2674474.839,TGOS
詠季企業社,特殊設施,環境污染,一般廢棄物,臺中市北屯區東山路一段216之1號附近,臺中市北屯區水景里3鄰東山路一段216之1號,220873.616,2674196.333,TGOS
興忠行股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市后里區九甲七路400號附近,臺中市后里區月眉里1鄰九甲七路400號,221250.342,2691421.355,TGOS
鉅鑫工程開發有限公司,特殊設施,環境污染,一般廢棄物,臺中市西屯區逢明街98號附近,臺中市西屯區西安里26鄰逢明街98號,213335.337,2674693.97,TGOS
美加成國際有限公司,特殊設施,環境污染,一般廢棄物,臺中市東區復興路四段與臺中路附近,臺中市東區復興路四段與臺中路交叉口,217777.2694,2669946.94,Google
星益企業有限公司,特殊設施,環境污染,一般廢棄物,臺中市大里區成功路與向學路62巷附近,臺中市大里區成功路與向學路62巷交叉口,219822.3512,2665033.712,Google
上大企業商行,特殊設施,環境污染,一般廢棄物,臺中市南屯區益文二街與龍富十五路附近,臺中市南屯區益文二街與龍富十五路交叉口,212633.4715,2670890.078,Google
永興人本興業社,特殊設施,環境污染,一般廢棄物,臺中市豐原區豐原大道二段與田心路二段附近,臺中市豐原區豐原大道二段與田心路二段交叉口,221816.1365,2681243.162,Google
統元營造工程有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區東山路一段367號附近,臺中市北屯區和平里22鄰東山路一段367之1號,221984.003,2674581.319,TGOS
禾新蛋行,特殊設施,環境污染,一般廢棄物,臺中市西屯區何福里河南路69號,臺中市西屯區何福里15鄰河南路一段69號,215740.002,2673685.385,TGOS
裕讚環保顧問股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區興安路與遼陽北二街附近,臺中市北屯區興安路與遼陽北二街交叉口,218949.9256,2674212.383,Google
東立鐵工廠,特殊設施,環境污染,一般廢棄物,臺中市豐原區田心路二段253號附近,臺中市豐原區田心路二段253號,221812.4925,2681466.441,Google
昌安工程有限公司,特殊設施,環境污染,一般廢棄物,臺中市豐原區陽明街22號附近,臺中市豐原區陽明里19鄰陽明街22號,221556.03,2682400.79,TGOS
青益輪胎行,特殊設施,環境污染,一般廢棄物,臺中市后里區甲后路一段879號(嵐緹造型沙龍)附近,臺中市后里區墩北里17鄰甲后路一段879號,220759.272,2689441.49,TGOS
和賀科技有限公司,特殊設施,環境污染,一般廢棄物,臺中市清水區國道4號東行二公里處附近,找不到指定的門牌地址。,,,TGOS
寶徠興企業有限公司,特殊設施,環境污染,一般廢棄物,臺中市北屯區太原路三段與建和路一段附近,臺中市北屯區太原路三段與建和路一段交叉口,221701.1909,2673038.165,Google
雙美交通有限公司,特殊設施,環境污染,一般廢棄物,臺中市西屯區玉門路與福強街附近,臺中市西屯區玉門路與福強街交叉口,210413.4817,2675919.357,Google
晉騰工程行,特殊設施,環境污染,一般廢棄物,臺中市北區太平路66號附近,臺中市北區錦平里1鄰太平路66號,217751.655,2671529.271,TGOS
新而雅建設股份有限公司,特殊設施,環境污染,一般廢棄物,臺中市梧棲區民族段120之66地號,臺中市梧棲區民族段120之66地號,202734.92,2681565.049,NLSC
老爺管家有限公司,特殊設施,環境污染,一般廢棄物,臺中市西屯區順安段河川地,找不到指定的門牌地址。,,,TGOS
大安生醫股份有限公司三廠,特殊設施,環境污染,一般廢棄物,臺中市大里區仁化工三路128號,臺中市大里區健民里16鄰仁化工三路128號,222158.706,2665174.768,TGOS
,特殊設施,環境污染,一般廢棄物,臺中市北屯區東山路一段289之2號,臺中市北屯區軍功里29鄰東山路一段289之5號,221494.655,2674546.223,TGOS
