uc_id,urban_code,case_code,case_type,細部計畫ID,case_name,gov_code,gov_date,is_publish,is_map
1,01,01,1,0101,核定南投鎮都市計畫案,投府建土字第55974號,045年11月23日,T,NULL
2,01,02,4,0102,南投鎮申請變更連接中興都市計畫道路線案,投府建土字第5974號,,T,NULL
3,01,03,2,0103,變更南投鎮三和新社區細部計畫案,投府建都字第16633號,059年03月21日,T,NULL
4,01,04,4,0104,變更南投鎮都市計劃「公一」北側部份土地為機關用地及十九號計劃道路為十公尺寬案,投府建都字第11846號,060年03月13日,T,NULL
5,01,05,4,0105,南投鎮都市計畫「政一」用地（原縣政府用地）變更為商業區案,投府建都字第16648號,060年03月17日,T,NULL
6,01,06,4,0106,南投鎮都市計畫原台糖火車站及鐵路用地變更案,投府建都字第91975號,060年11月26日,T,NULL
7,01,07,3,0107,南投鎮都市計畫（第一次通盤檢討）案,投府建都字第42577號,063年05月15日,T,NULL
8,01,08,3,0108,南投鎮都市計畫公共設施保留地通盤檢討案,投府建都字第100210號,064年10月15日,T,NULL
9,01,09,4,0109,南投鎮都市計畫配合三和新社區建設及縣議會遷建變更案,投府建都字第27333號,068年04月13日,T,NULL
10,01,10,2,0110,南投都市計畫茄苳腳地區細部計畫案,投府建都字第112479號,070年12月28日,T,1
11,01,11,4,0111,南投都市計畫變更部分工業區（原台鳳工廠）為住宅區,投府建都字第8253號,071年02月15日,T,NULL
12,01,12,4,0112,南投都市計畫變更部分學校用地（南投高中用地）為文化中心用地及部分學校用地及行政區為道路用地案,投府建都字第73371號,071年08月16日,T,NULL
13,01,13,4,0113,變更南投都市計畫（部分保護區、農業區、住宅區為行水區）案,府建都第128895號,075年12月30日,T,NULL
14,01,14,3,0114,變更南投都市計畫（第三次通盤檢討）案,投府建都字第112003號,077年10月19日,T,NULL
15,01,15,3,0115,變更南投都市計畫（第一期公共設施保留地專案通盤檢討）案,投府建都字第7126號,080年01月18日,T,NULL
16,01,16,4,0116,變更南投都市計畫（部分保護區為道路用地）案,投府建都字第19167號,082年02月27日,T,NULL
17,01,17,4,0117,變更南投都市計畫（部分住宅區及道路用地為體育場用地）案,投府建都字第863號,083年01月16日,T,NULL
18,01,18,4,0118,變更南投都市計畫（部分農業區、保護區為道路用地，部分行水區為行水區兼供道路使用（供高速公路使用）暨部分道路用地為道路用地兼供高速公路使用）案,投府建都字第49187號,085年04月15日,T,NULL
19,01,19,4,0119,變更南投都市計畫（「文中四」國中用地為國小用地）案,投府建都字第176193號,085年12月24日,T,
20,01,20,5,0120,訂定南投都市計畫土地使用分區管制要點案,投府建都字第35236號,086年03月13日,T,NULL
21,01,21,4,0121,變更南投都市計畫（部份農業區為行水區）案,投府建都字第38631號,087年03月18日,T,NULL
22,01,22,4,0122,變更南投都市計畫（部分行水區、保護區及綠地為機關用地、部分機關用地為機關用地、社教用地）案,投府建都字第89151842號,089年10月05日,T,
