id,urban_code,case_code,num_code,附帶條件ID,case_codes,content,remark
1,01,15,01,011501,15,以市地重劃方式辦理,
2,01,15,02,011502,15,原機5保留0.2公頃為市場用地，其餘變更為停車場用地並於下次通盤檢討辦理。,本附帶條件於『變更南投都市計畫(第四次通盤檢討)案』時被刪除。因考量「機5」用地之現況使用，且「機1」及「機5」用地於震災後重建均留設足夠之停車空間，另，目前南投市尚有多處未開闢市場用地，無增設市場用地需求，故刪除原機五之附帶條件，並指定「機5」用地供縣政府相關機構使用。
3,01,15,03,011503,15,應另行擬定細部計畫)含配置適當之公共設施用地與擬具具體公平合理之事業及財務計畫)，並俟細部計畫完成法定程序發布實施後始得發照建築。,本附帶條件於民國83年7月20日召開辦理細部計畫協調會迄今尚無法取得同意書，故於『變更南投都市計畫(第四次通盤檢討)案』時恢復原計畫(停車場用地(停5))。
4,01,26,04,012604,26,開發時應提供至少100部以上之停車位。,
5,04,13,01,041301,13,於領取建築物使用執照或變更使用執照前繳納變更土地面積15%之回饋金，其價值依繳交當年度土地公告現值加四成計算，回饋金繳納予埔里鎮公所。,附1
6,04,13,02,041302,13,不得作「都市計畫法台灣省施行細則」第30條之1第1項第5款之使用。,附2
7,04,13,03,041303,13,不得做為「金融保險業、一般批發業、一般零售業、健身服務業、餐飲業、一般商業辦公大樓。」第之使用,附3
8,04,13,04,041304,13,回饋方式得擇下列其一為之：1.捐贈公共設施用地：於領取建築物使用執照或變更使用執照前提供變更土地面積15%做為公共設他用地，公共設他用地項目得包含道路、停車場、兒童遊樂場、綠地等，其中除道路用地外，以留設單一項公共設施用地為原則。該公共設施用地無償捐贈予埔里鎮公所。 2.繳交回饋金：以應回饋面積依繳交當年之土地公告現值加四成計算，回饋金繳納予埔里鎮公所。,附4
9,04,13,05,041305,13,於領取建築物使用執照或變更使用執照前繳納變更土地面積10%之回饋金，其價值依繳交當年度之土地公告現值加四成計算，回饋金繳納予埔里鎮公所。,附5
10,08,04,01,080401,"04,09",應另行擬定細部計畫(含配置適當之公共設施用地與擬具具體公平合理之事業及財務計畫)並俟細部計畫完成法定程序發布實施後始得發照建築。,
11,09,15,01,091501,15,1.基地內應提供不得低於申請開發土地總面積10%之生態綠地，且應移轉登記予水里鄉公所，並應維持其完整性與連貫性，申請人因現況確無法捐贈者，得經水里鄉公所同意，改以自願捐獻代金方式折算繳納，以利土地整體規劃使用。其代金之計算，以完成開發計畫核定當年度之公告現值加40%計算之，並應於申請建造執照前折算繳納予水里鄉公所。 2.扣除前項自願捐地部分之土地，剩餘部分應再提供其中20%土地作為區內必要之公共設施用地，並應自行興建、管理及維護，產權得仍歸原土地所有權人。,附1
12,09,15,02,091502,15,應辦理整體開發，且由區內土地所有權人無償提供廣場兼停車場用地、道路用地及綠帶等公共設施用地，並於完成開闢公共設施用地及產權移轉登記予水里鄉公所後，始得發照建築。又其開發單元面積不得小於0.5公頃，避免土地零星開發建築。,附2
13,09,15,03,091503,15,應提供變更範圍之30%土地做為公共設施用地使用。,附3
14,09,15,04,091504,15,應另行擬定細部計畫（含配置適當之公共設施用地，與擬定具體公平合理之事業及財務計畫），並俟細部計畫完成法定程序發布實施後始得發照建築。,
15,09,09,05,090905,09,一、應另行擬定細部計畫(含配置適當之公共設施用地與擬具具體公平合理之事業及財務計畫)，並俟細部計畫完成法定程序發佈實施後始得發照建築。二、公有地所佔百分比(不計入私有地提供公共設施百分比)整體規劃後於一號道路東側規劃為停車場用地。三、私有地配置之公共設施優先保留0.28公頃為公元兼兒童遊樂場用地。,
16,12,09,01,120901,09,以市地重劃方式開發。,附1；變更中寮都市計畫(第一次通盤檢討)案原市場用地變更為商業區、道路、廣場。註：本計畫區附帶條件規定應整體開發部分，為確保計畫可行及加速開發，如未能於下次通盤檢討前完成整體開發計畫，則應依法定程序恢復原計畫或變更為其他適當使用分區或公共設施用地。
17,12,09,02,120902,09,自西端起保留三分之一面積無償提供為車站、停車場用地，其餘變更為住宅區，並以市地重劃方式開發。,附2；變更中寮都市計畫(第一期公共設施保留地專案通盤檢討)案原機六變更為住宅區。註：本計畫區附帶條件規定應整體開發部分，為確保計畫可行及加速開發，如未能於下次通盤檢討前完成整體開發計畫，則應依法定程序恢復原計畫或變更為其他適當使用分區或公共設施用地。
18,13,04,01,130401,04,所送環境地質分析資料納入計畫書內，並依照其建議，屬不宜建築使用部分，應保留作為空地使用。,
19,15,03,01,150301,03,變更為住宅區部分應另行擬定細部計畫(含配置適當之公共設施用地與擬具具體公平合理之事業及財務計畫)，並俟細部計畫完作法定程序發布實施後始得發照建築。,
20,15,03,02,150302,03,應另行擬定細部計畫(含配置適當之公共設施用地與擬具具體公平合理之事業及財務計畫)，並俟細部計畫完作法定程序發布實施後始得發照建築。,
21,15,03,03,150303,03,霧社山胞抗日起義紀念碑請縣府妥為維護保存。,
22,17,08,01,170801,08,一、申請變更使用之土地位於山坡地者，除應符合山坡地開發建築管理辦法規定外，其使用限制如下：1.坵塊圖上之平均坡度在百分之四十以上之地區，應維持原始地貌，剔除於變更範圍外，不得變更及開發利用。2.坵塊圖上之平均坡度在百分之三十至百分之四十之地區，以作為開放性之公共設施使用為限，不得建築使用。二、主要計畫發布兩年內應提出細部計畫(含配置適當之公共設施與事業及財務計畫)並於細部計畫完成法定程序後，五年內開發完竣，否則下次通盤檢討時依程序恢復為農業區。三、本案開發方式請參見溪頭森林遊樂特定區主要計畫(第二次通盤檢討)變更農業區為丙種旅館區事業開發計畫書。,需要擬定細部計畫，已擬定「擬定溪頭森林遊樂特定區(車光寮丙種旅館區)細部計畫」
23,17,08,02,170802,08,應另行擬定細部計畫(含配置適當之公共設施用地與擬具具體公平合理之事業及財務計畫)，並以區段徵收方式辦理。,
24,17,08,03,170803,08,一、變更範圍應以區段徵收方式辦理。二、應另行擬定細部計畫(含配置百分之四十以上之公共設施用地與擬具具體公平合理之事業及財務計畫)。三、依現行法令規定無法配售於鹿谷鄉一號計畫道路拆遷戶，應由當地國宅主管機關研具專案國宅拆遷安置計畫，並送該府審核同意後，據以實施。,
25,22,02,01,220201,02,保護區變更為旅館區部分應以區段徵收整體開發，惟已完成區段徵收者不在此限。惟保護區變更為旅館區部分(面臨0.01公頃)，為山胞保留地且面積狹小，其附帶條件是否適合辦理區段徵收，有無最小面積之限制規定，應由本部專案報院核示。,
26,14,03,01,140301,03,需辦理市地重劃,
27,14,03,02,140302,03,以市地重劃方式辦理。,
28,05,53,01,055301,53,1.應另行擬定細部計畫(含配置適當之公共設施用地，與擬定具體公平合理之事業及財務計畫)，並俟細部計畫完成法定程序發布實施後始得發照建築。2.提供百分之三十五為公共設施用地。,
29,05,50,02,055002,50,應擬定細部計畫劃設必要公共設施，並以市地重劃方式開發。,
30,05,53,03,055303,53,應另行擬定細部計畫(含配置適當之公共設施用地與擬具具體公平合理之事業及財務計畫)，並俟細部計畫完成法定程序發佈實施後始得發照建築。,
31,08,04,02,080402,04,1.應另行擬定細部計畫（含配置適當之公共設施用地及擬具具體合理之事業及財務計畫）並俟細部計畫完成法定程序後使得發照建築。2.公七、公五變更案於擬定細部計畫時，應保留合計約0.79公頃之公園用地。,
32,09,00,06,090006,,以市地重劃方式開發,
33,09,11,07,091107,11,由縣政府妥為訂定『休閒旅遊專用區都市設計審議原則』，俟其提出整體開發時，併供縣府都市設計審議委員會審議之參考,
34,09,00,08,090008,,已完成開闢,
35,22,02,02,220202,02,保護區變更為旅館區部分應以區段徵收整體開發，惟已完成區段徵收者不在此限。,
36,05,0,04,055304,53,1.草屯國小邊劃設四公尺人行道。2.應另行擬定細部計畫（含配置適當之公共設施用地，與擬定具體公平合理之事業及財務計畫），並俟細部計畫完成法定程序發布實施後始得發照建築。,
